id_catalogo,nombre_cat,categoria,super_1,nombre_1,super_2,nombre_2
CAT-8396,Vino Tinto Crianza Tempranillo Altos De Penalen Doca Rioja 75 Cl,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Vino Tinto Crianza Tempranillo Altos De Penalen Doca Rioja 75 Cl
CAT-8679,Panuelo Hot Dog 1 Ud,Sin categoría,Mercadona,Vela de cumpleaños 1 Hacendado,Carrefour,Panuelo Hot Dog 1 Ud
CAT-9234,Mantequilla Facil De Untar Ligeramente Salada Lurpak 200 G,Lácteos y Huevos,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Mantequilla Facil De Untar Ligeramente Salada Lurpak 200 G
CAT-9383,Tinto De Verano Clasico Sin Alcohol La Casera Botella 15 L,Bebidas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Tinto De Verano Clasico Sin Alcohol La Casera Botella 15 L
CAT-9431,Ron Anejo Brugal 1 L,Bebidas,Mercadona,Vela de cumpleaños 1 Hacendado,DIA,Ron añejo Brugal 70 cl
CAT-6141,Champu Hidratacion Intensa Para Cabello Seco O Danado Tresemme 685 Ml,Cuidado personal e Higiene,Mercadona,Sal gruesa para hornear Hacendado,DIA,Champú hidratación intensa cabello seco Tresemmé 685 ml
CAT-7242,Mascarilla Capilar 72H De Hidratacion Intensiva Hidra Hialuronico Elvive Loreal Paris 300 Ml,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Mascarilla Capilar 72H De Hidratacion Intensiva Hidra Hialuronico Elvive Loreal Paris 300 Ml
CAT-6932,Desodorante En Spray Dermo Invisible Sanex 200 Ml,Cuidado personal e Higiene,Mercadona,Clavo en grano Hacendado,Carrefour,Desodorante En Spray Dermo Invisible Sanex 200 Ml
CAT-7129,Gel De Ducha Neutro Hidratante Sanex 950 Ml,Cuidado personal e Higiene,Mercadona,Aceite de oliva 1º Hacendado,DIA,Gel de ducha hidratante Sanex 600 ml
CAT-8589,Gel De Ducha Hidratante Aloe Vera Instituto Espanol 1250 Ml,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Gel De Ducha Hidratante Aloe Vera Instituto Espanol 1250 Ml
CAT-9775,Gel De Ducha Aloe Vera Hidrotermal La Toja 550 Ml,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Gel De Ducha Aloe Vera Hidrotermal La Toja 550 Ml
CAT-9779,Gel De Ducha Piel Sana Instituto Espanol 1250 Ml,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Gel De Ducha Piel Sana Instituto Espanol 1250 Ml
CAT-6293,Compresas Para Incontinencia De Orina Mini Discreet Ausonia 24 Ud,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Compresas Para Incontinencia De Orina Mini Discreet Ausonia 24 Ud
CAT-7828,Rosquillas Fritas 400 G,Panadería y Pastelería,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Rosquillas Fritas 400 G
CAT-7884,Mini Redondo De Pollo Asado Con Bacon Asados La Carlotena Sin Gluten 250 G,Carnicería y Charcutería,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,DIA,Mini redondo de pollo asado con bacon La Carloteña 250 g
CAT-8043,Quitagrasas En Pistola Ecologico Ecobel Agatha Ruiz De La Prada 750 Ml,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Quitagrasas En Pistola Ecologico Ecobel Agatha Ruiz De La Prada 750 Ml
CAT-8052,Tarrito De Verduritas Con Pollo Desde 6 Meses Hero Solo Buenas Noches Sin Gluten Pack De 6 Unidades 190 G,Carnicería y Charcutería,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Tarrito De Verduritas Con Pollo Desde 6 Meses Hero Solo Buenas Noches Sin Gluten Pack De 6 Unidades 190 G
CAT-8266,Pizza Fresca Bianca 4 Quesos De Lenta Fermentacion Casa Tarradellas 400 G,Lácteos y Huevos,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Pizza Fresca Bianca 4 Quesos De Lenta Fermentacion Casa Tarradellas 400 G
CAT-4650,Tinte 40 Castano Garnier Olia 1 Ud,Sin categoría,Mercadona,Detergente ropa todo en 1 frescor floral Ariel Pods en cápsulas,Carrefour,Tinte 40 Castano Garnier Olia 1 Ud
CAT-5691,Bayeta Microfibra Spontex Collection Xxl 4 Ud,Hogar,Mercadona,Polvos voluminizador para el cabello Volum Fix Deliplus mate fijación 4,DIA,Bayeta microfibra XXL Spontex 2 unidades
CAT-6644,Lavavajillas A Mano Ultra Poder Fairy 900 Ml,Hogar,Mercadona,Cerdo a tacos,Carrefour,Lavavajillas A Mano Ultra Poder Fairy 900 Ml
CAT-6922,Colgador Wc Poder Activo Natura Bref 2 Ud,Sin categoría,Mercadona,2 Baguettes para hornear,Carrefour,Colgador Wc Poder Activo Natura Bref 2 Ud
CAT-8415,Bolsita De Manzana Platano Y Melocoton Goodies Pack 4 Unidades 100 G,Frutas y Verduras,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Bolsita De Manzana Platano Y Melocoton Goodies Pack 4 Unidades 100 G
CAT-9843,Quitamanchas Asevi 750 Ml,Hogar,Mercadona,Biberón 150 ml tetina silicona flujo lento Deliplus +0 meses,Carrefour,Quitamanchas Asevi 750 Ml
CAT-8039,Champu Equilibrante Para Pelo Graso En Raiz Y Seco En Puntas Carbon Magnetico Original Remedies Garnier 400 Ml,Cuidado personal e Higiene,Mercadona,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,Carrefour,Champu Equilibrante Para Pelo Graso En Raiz Y Seco En Puntas Carbon Magnetico Original Remedies Garnier 400 Ml
CAT-8663,Desodorante En Spray Marine Axe Pack De 2 Unidades De 150 Ml,Cuidado personal e Higiene,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Desodorante En Spray Marine Axe Pack De 2 Unidades De 150 Ml
CAT-9560,Desodorante En Spray Antitranspirante Cotton Dry Rexona 200 Ml,Cuidado personal e Higiene,Mercadona,Clavo en grano Hacendado,Carrefour,Desodorante En Spray Antitranspirante Cotton Dry Rexona 200 Ml
CAT-9917,Desodorante En Spray Con Perfume Floral 200 Ml,Cuidado personal e Higiene,Mercadona,Clavo en grano Hacendado,Carrefour,Desodorante En Spray Con Perfume Floral 200 Ml
CAT-7824,Quitamanchas Gold Oxi Action Vanish 400 G,Hogar,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Alcampo,VANISH Quitamanchas especial mascotas VANISH OXI ACTION 750 ml.
CAT-7867,Arena Aglomerante De Bentonita Blanca Mycat 4L,Mascotas,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Arena Aglomerante De Bentonita Blanca Mycat 4L
CAT-8082,Lavavajillas A Maquina En Pastillas Fresh Ultimate Plus Finish 72 Ud,Hogar,Mercadona,Clavo en grano Hacendado,Carrefour,Lavavajillas A Maquina En Pastillas Fresh Ultimate Plus Finish 72 Ud
CAT-8159,Piccolinis 3 Quesos Buitoni 270 G,Lácteos y Huevos,Mercadona,Bebida láctea Omega 3 Puleva con nueces y leche desnatada,Carrefour,Piccolinis 3 Quesos Buitoni 270 G
CAT-9623,Detergente Liquido Delicado A Mano Norit 45 Lavados,Hogar,Mercadona,Cacao en polvo a la taza Hacendado,Carrefour,Detergente Liquido Delicado A Mano Norit 45 Lavados
CAT-8279,Ambientador Automatico Flor De Cerezo  Frambuesa Recambio Air Wick 1 Ud,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Ambientador Automatico Flor De Cerezo  Frambuesa Recambio Air Wick 1 Ud
CAT-4189,Palo Para Fregona De Acero Vileda   Rojo,Hogar,Mercadona,Mostaza de Dijon Hacendado,Carrefour,Palo Para Fregona De Acero Vileda   Rojo
CAT-4190,Palo Universal Para Fregona O Cepillo De Acero Vileda,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Palo Universal Para Fregona O Cepillo De Acero Vileda
CAT-4423,Corazones De Filete De Merluza Congelados Pescanova 500 G,Pescadería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Corazones De Filete De Merluza Congelados Pescanova 500 G
CAT-4744,Cuchillo Multiusos De Acero Inoxidable 125 Cm San Ignacio Resa,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cuchillo Multiusos De Acero Inoxidable 125 Cm San Ignacio Resa
CAT-4759,Cubo De Basura Con Pedal 21L Tatay Ecohome   Beige,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cubo De Basura Con Pedal 21L Tatay Ecohome   Beige
CAT-4766,Limpiador Banos Higiene Profunda Cillit Bang 750 Ml,Hogar,Mercadona,"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",DIA,Limpiador baño Cillit bang 750 ml
CAT-4812,Tapa Microondas De Plastico Curver 27Cm   Transparente,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Tapa Microondas De Plastico Curver 27Cm   Transparente
CAT-4839,Langostino Crudo Congelado 3040 Ud Pescatrade 900 G,Pescadería,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Langostino Crudo Congelado 3040 Ud Pescatrade 900 G
CAT-5347,Papel De Cocina  Love The Bee Foxy 2 Rollos,Bazar y Varios,Mercadona,Aceite de oliva 1º Hacendado,Alcampo,FOXY Love the Bee Rollo de papel de cocina multiusos 1 ud.
CAT-5163,Pegamento Loctite Super Glue 3 Minitrio 3X1Gr,Sin categoría,Mercadona,Maquinilla depilación recargable Gillette Venus Comfortglide Breeze 3 hojas,Carrefour,Pegamento Loctite Super Glue 3 Minitrio 3X1Gr
CAT-5354,Gel Wc Accion Total Oceano Pato Pack De 2 Unidades De 750 Ml,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Gel Wc Accion Total Oceano Pato Pack De 2 Unidades De 750 Ml
CAT-5535,Patatas Original Tradition Mccain 1 Kg,Sin categoría,Mercadona,Patata,Carrefour,Patatas Original Tradition Mccain 1 Kg
CAT-5567,Pegamento De Barra,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Pegamento De Barra
CAT-5571,Palitos Rebozados De Merluza Pescanova 300 G,Pescadería,Mercadona,Aceite de oliva 1º Hacendado,Carrefour,Palitos Rebozados De Merluza Pescanova 300 G
CAT-6038,Limpiador Desinfectante Quitagrasas Sanytol 750 Ml,Hogar,Mercadona,Quitagrasas KH-7,Alcampo,SANYTOL Limpiador desinfectante multiusos 750 ml.
CAT-6093,Cafetera De Aluminio Idealcasa Nero 9 Tazas   Negro,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cafetera De Aluminio Idealcasa Nero 9 Tazas   Negro
CAT-6122,Pizza De Jamon Prosciutto Italpizza 560 G,Congelados,Mercadona,Mostaza de Dijon Hacendado,Carrefour,Pizza De Jamon Prosciutto Italpizza 560 G
CAT-6167,Gel Para Lavavajillas Lima Limon Todo En Uno Somat 60 Lavados,Hogar,Mercadona,Clavo en grano Hacendado,DIA,Lavavajillas máquina todo en 1 lima y limón Somat botella 60 lavados 1.08 L
CAT-6360,Lavavajillas A Maquina Original Pastillas Aroma Limon Todo En Uno Fairy 41 Ud,Hogar,Mercadona,Clavo en grano Hacendado,Carrefour,Lavavajillas A Maquina Original Pastillas Aroma Limon Todo En Uno Fairy 41 Ud
CAT-6457,Lavavajillas A Maquina En Pastillas Quantum Finish Powerball 34 Ud,Hogar,Mercadona,Clavo en grano Hacendado,Carrefour,Lavavajillas A Maquina En Pastillas Quantum Finish Powerball 34 Ud
CAT-6528,Pegamento Loctite Con Pince Super Glue 3  5 Gr,Sin categoría,Mercadona,"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",Carrefour,Pegamento Loctite Con Pince Super Glue 3  5 Gr
CAT-6897,Patatas Corte Juliana Mccain 600 G,Sin categoría,Mercadona,Patata,Carrefour,Patatas Corte Juliana Mccain 600 G
CAT-6920,Friegasuelos Aroma Lavanda Xanpa 1 L,Sin categoría,Mercadona,Detergente ropa todo en 1 frescor floral Ariel Pods en cápsulas,Carrefour,Friegasuelos Aroma Lavanda Xanpa 1 L
CAT-6934,Film Transparente Albal 50 Metros,Hogar,Mercadona,Crema facial fotocorrector unificador anti-manchas Deliplus FPS 50,Carrefour,Film Transparente Albal 50 Metros
CAT-7157,Cachito De Jamon Pan 340 G,Carnicería y Charcutería,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,Carrefour,Cachito De Jamon Pan 340 G
CAT-7487,Cigarrillos De Tolosa De Nuestra Tierra 160 G,Sin categoría,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cigarrillos De Tolosa De Nuestra Tierra 160 G
CAT-7529,Ambientador Electrico Aroma Lavanda Recambio Ambi Pur 1 Ud,Hogar,Mercadona,Vela de cumpleaños 1 Hacendado,Carrefour,Ambientador Electrico Aroma Lavanda Recambio Ambi Pur 1 Ud
CAT-7599,Cola De Rape Del Cabo Ultracongelado 350 G Aprox,Pescadería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Cola De Rape Del Cabo Ultracongelado 350 G Aprox
CAT-7635,Pizza Margherita Italpizza 410 G,Congelados,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Pizza Margherita Italpizza 410 G
CAT-7779,Sandwich De Queso Galleta Y Frambuesa Maxibon Nestle 4 Ud,Lácteos y Huevos,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Sandwich De Queso Galleta Y Frambuesa Maxibon Nestle 4 Ud
CAT-8383,Ensalada De Algas Wakame 125 G,Sin categoría,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,Carrefour,Ensalada De Algas Wakame 125 G
CAT-8417,Cebolla Granel Carrefour 1 Kg Aprox,Frutas y Verduras,Mercadona,Detergente ropa todo en 1 frescor floral Ariel Pods en cápsulas,DIA,Cebolla dulce granel 1.1 Kg aprox.
CAT-8743,Minipizza De Atun Buitoni 270 G,Congelados,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,Carrefour,Minipizza De Atun Buitoni 270 G
CAT-8735,Cereza Dulce Deshuesada Congelada La Cuerva 300 G,Frutas y Verduras,Mercadona,Lomo asado La Carloteña lonchas,Carrefour,Cereza Dulce Deshuesada Congelada La Cuerva 300 G
CAT-9147,Suavizante Concentrado Frutos Rojos Y Exoticos Flor Twist 78 Lavados,Hogar,Mercadona,"Leche corporal nutritiva Nivea con ácido hialurónico, aceite de almendras y sérum de nutrición profunda",Carrefour,Suavizante Concentrado Frutos Rojos Y Exoticos Flor Twist 78 Lavados
CAT-9395,Piedra Blanca De Limpieza Chubb 500 G,Sin categoría,Mercadona,Vino tinto tempranillo Cepas Viejas Señorío de los Llanos DO Valdepeñas,Carrefour,Piedra Blanca De Limpieza Chubb 500 G
CAT-9465,Limpiador Especifico Para Placas De Vitroceramica Vitroclen 450 Ml,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Limpiador Especifico Para Placas De Vitroceramica Vitroclen 450 Ml
CAT-9621,Fregona Microfibra Poliester Vileda Premium 2 En 1 ,Hogar,Mercadona,Clavo en grano Hacendado,Carrefour,Fregona Microfibra Poliester Vileda Premium 2 En 1 
CAT-9669,Porciones Vegetarianas A Base De Espinacas Arroz Y Queso Garden Gourmet 180 G,Despensa,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Porciones Vegetarianas A Base De Espinacas Arroz Y Queso Garden Gourmet 180 G
CAT-9889,Detergente Liquido Para La Ropa De Bebe Frosch Baby 21 Lavados,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Detergente Liquido Para La Ropa De Bebe Frosch Baby 21 Lavados
CAT-4115,Tarrito De Verduritas Con Merluza Desde 6 Meses Hero Solo Sin Gluten 235 G,Pescadería,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Tarrito De Verduritas Con Merluza Desde 6 Meses Hero Solo Sin Gluten 235 G
CAT-4156,Pechuga Empanada Recetas Crujientes La Cocinera 330 G,Carnicería y Charcutería,Mercadona,Lomo asado La Carloteña lonchas,Carrefour,Pechuga Empanada Recetas Crujientes La Cocinera 330 G
CAT-4409,Tarrito De Guisantes Tiernos Con Jamon Desde 6 Meses Hero Solo Sin Gluten 235 G,Carnicería y Charcutería,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Tarrito De Guisantes Tiernos Con Jamon Desde 6 Meses Hero Solo Sin Gluten 235 G
CAT-4587,Snacks De Cereales Con Frambuesa Desde 8 Meses Ecologico Gerber Sin Azucar Anadido 35 G,Despensa,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Snacks De Cereales Con Frambuesa Desde 8 Meses Ecologico Gerber Sin Azucar Anadido 35 G
CAT-4609,Nachos Crujientes Cheddar Pickers By Mccain 230 G,Lácteos y Huevos,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Nachos Crujientes Cheddar Pickers By Mccain 230 G
CAT-4717,Ambientador Electrico Campos De Lavanda Recambio Ambi Pur 1 Ud,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Ambientador Electrico Campos De Lavanda Recambio Ambi Pur 1 Ud
CAT-4897,Carne Zamburina Congelado Delfin 270 G,Sin categoría,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Carne Zamburina Congelado Delfin 270 G
CAT-4916,Agua Mineral Solan De Cabras 33 Cl,Bebidas,Mercadona,Aceite de oliva virgen extra Hacendado Gran Selección,DIA,Agua mineral Solán de Cabras 500 ml
CAT-4891,Comida Humeda De Cordero Y Pollo Para Perro Pedigree 300 G,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Comida Humeda De Cordero Y Pollo Para Perro Pedigree 300 G
CAT-4944,Papilla Infantil Desde 12 Meses 8 Cereales Con Cacao Nestle Sin Azucar Anadido 725 G,Despensa,Mercadona,Bebida láctea Omega 3 Puleva con leche desnatada,Carrefour,Papilla Infantil Desde 12 Meses 8 Cereales Con Cacao Nestle Sin Azucar Anadido 725 G
CAT-4988,Ambientador Spray Automatico Sin Aerosol Aroma Flor De Jazmin Active Fresh Recambio Air Wick 1 Ud,Hogar,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Ambientador Spray Automatico Sin Aerosol Aroma Flor De Jazmin Active Fresh Recambio Air Wick 1 Ud
CAT-4993,Almeja Blanca Del Pacifico Cocida 450 G,Pescadería,Mercadona,"Bebida láctea desnatada sabor fresa y plátano +Proteínas Hacendado 0% MG 0% azúcares añadidos 17,4 g proteínas",Carrefour,Almeja Blanca Del Pacifico Cocida 450 G
CAT-4977,Locion Cara Y Cuerpo 24H De Hidratacion Cottontouch Johnsons Baby 500 Ml,Bebes,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Locion Cara Y Cuerpo 24H De Hidratacion Cottontouch Johnsons Baby 500 Ml
CAT-5280,Bolsita De Manzana Platano Y Zanahoria Ecologico Hero Solo Sin Gluten 100 G,Frutas y Verduras,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Bolsita De Manzana Platano Y Zanahoria Ecologico Hero Solo Sin Gluten 100 G
CAT-5899,Tarrito De Pera Y Platano Desde 4 Meses Ecologico Hero Solo Sin Gluten 190 G,Frutas y Verduras,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Tarrito De Pera Y Platano Desde 4 Meses Ecologico Hero Solo Sin Gluten 190 G
CAT-5979,Empanada De Carne De Vacuno Pukka Pies 210 G,Carnicería y Charcutería,Mercadona,Aceite de oliva 1º Hacendado,Carrefour,Empanada De Carne De Vacuno Pukka Pies 210 G
CAT-6103,Yogur Infantil Platano Y Fresas Desde 6 Meses Hero Baby Sin Gluten Y Azucar Anadido Pack De 2 Unidades De 120 G,Despensa,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Yogur Infantil Platano Y Fresas Desde 6 Meses Hero Baby Sin Gluten Y Azucar Anadido Pack De 2 Unidades De 120 G
CAT-6394,Pienso Esterilizado Tracto Urinario De Pollo Para Gato Ultima 15 Kg,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",DIA,Alimento para gatos esterilizados y tracto urinario con pollo Ultima bolsa 1.5 Kg
CAT-6397,Pienso De Pollo Para Perros Yorkshire Terrier Ultima 15 Kg,Carnicería y Charcutería,Mercadona,"Aceite de oliva 0,4º Hacendado",Carrefour,Pienso De Pollo Para Perros Yorkshire Terrier Ultima 15 Kg
