id_catalogo,id_ahorramas,score,motivo,nombre_ahorramas,nombre_catalogo,tipo,marca_catalogo,precio_ahorramas
CAT-1545,AH-98225,6,Mismo tipo (arroz integral largo) pero marca blanca vs marca fabricante (Sos). En marca blanca se compara solo tipo,Arroz integral Sos 1kg,Arroz integral largo,marca_blanca,,1.85
CAT-8793,AH-99091,6,"mismo producto base pero sabor diferente (barbacoa vs bacon), misma marca Dr Oetker",Pannini Dr Oetker 250g bacon,pannini barbacoa dr oetker 250 g,marca_fabricante,Droetker,3.39
CAT-5660,AH-98443,6,"mismo producto base Ambar pero tipo diferente (cerveza vs Radler), misma marca",Cerveza Radler Ambar 33cl Triple Zero,cerveza ambar triple zero lata 33 cl,marca_fabricante,Ambar,0.85
CAT-0072,AH-98512,6,vino tinto DO Valdepeñas reserva pero marcas distintas: Pata Negra vs Pata Negra (¿el mismo?). Necesita confirmación de marca exacta,Vino tinto DO Valdepeñas Pata Negra reservado,Vino tinto tempranillo reserva Pata Negra DO Valdepeñas,marca_fabricante,,4.5
CAT-0125,AH-99126,6,"corazones de alcachofa pero marcas distintas: marca blanca vs Findus. Son productos similares, distinta marca",Corazones de alcachofa Findus 300g,Corazones de alcachofa,marca_blanca,,4.99
CAT-1217,AH-98250,6,"tortitas de maíz sabor jamón pero marca blanca vs Bicentury. Mismo subtipo, distinta marca",Tortitas de maíz Bicentury 123g sabor jamón,Tortitas de maíz con sabor a jamón,marca_blanca,,2.39
CAT-5220,AH-98470,6,cerveza Mahou pero subtipo distinto: sin filtrar vs IPA. Son variantes diferentes del mismo fabricante,Cerveza IPA Mahou 5 Estrellas lata 33cl,cerveza sin filtrar mahou 5 estrellas lata 33 cl,marca_fabricante,Mahou,1.15
CAT-6154,AH-99545,6,"mismo tipo suavizante Mimosín bergamota, pero diferente número de lavados (95 vs 50)",Suavizante Concentrado Bergamota Salvaje Mimosín Origins 50 lavados,suavizante concentrado bergamota salvaje origins mimosin 95 lavados,marca_fabricante,Mimosin,2.49
CAT-3256,AH-99204,6,Mismo tipo de producto (leche desnatada con calcio) pero marca diferente: marca blanca vs Puleva. Son subtipo similar pero distinta marca.,Leche Puleva calcio 1l desnatada,Leche desnatada calcio,marca_blanca,,1.59
CAT-0465,AM-70078,6,"mismo tipo de producto pero marca diferente: tomate frito con aceite de oliva, catálogo marca blanca vs Solís marca fabricante",Tomate frito con aceite de oliva Solis 360g,Tomate frito con aceite de oliva,marca_blanca,,1.69
CAT-0018,AH-98120,6,mismo tipo de producto pero marca diferente: aceite oliva virgen extra (marca fabricante Coosur vs expectativa de marca blanca),Aceite de oliva virgen extra Coosur 3l,Aceite de oliva virgen extra,marca_blanca,,15.75
CAT-1195,AH-99458,6,diferente subtipo: papilla 8 cereales con galleta María vs papilla 8 cereales con galleta (sabor/ingrediente distinto),Papilla Nestlé 8 cereales galleta desde 6meses 725g,Papilla 8 cereales con galleta María Nestlé +6 meses,marca_fabricante,,5.75
CAT-6155,AH-99543,8,"Mismo producto: suavizante concentrado Mimosín azul vital, mismo tipo y marca aunque distinto número de lavados",Suavizante concentrado Mimosín 56 lavados azul vital,suavizante concentrado azul vital mimosin 105 lavados,marca_fabricante,Mimosin,3.79
CAT-6058,AH-98404,8,"mismo producto Monster Energy juiced, misma marca, pequeña diferencia en especificación de sabor",Bebida energética Monster Energy 50cl juiced mango loco lata,monster energy juiced bebida energetica monarch lata 500 ml,marca_fabricante,Monster,1.79
CAT-8692,AH-99122,8,mismo producto con diferencia: pizza Buitoni Forno di Pietra pero en AH falta mención a pesto,Pizza Forno di Pietra Buitoni 350g prosciutto,pizza prosciutto pesto forno di pietra buitoni 350 g,marca_fabricante,Buitoni,3.65
CAT-9591,AM-78897,8,"Coca-Cola Zero azúcar sin cafeína, misma variante pero falta confirmación de cafeína en AhorraMas",Refresco cola Coca-Cola botella 2l pack 4 zero azúcar,coca cola zero azucar zero cafeina pack 4 botellas 2 l,marca_fabricante,Coca-Cola-Zero-Scaf,7.52
CAT-1824,AH-98946,8,"Mismo producto: pechuga de pavo finas lonchas reducido en sal. Marca blanca, se compara solo tipo de producto. Pequeña diferencia en formato de presentación (pack 2).",Pechuga pavo finas lonchas reducido en sal ElPozo pack 2 de 200g,Pechuga de pavo reducido en sal finas lonchas,marca_blanca,,4.1
CAT-9418,AH-98830,8,Mismo producto: pera conferencia DOP Rincón de Soto. Pequeña diferencia en presentación (4 uds vs bandeja 650g) pero mismo producto.,Pera conferencia DOP Rincón de Soto bandeja 650g,pera conferencia do rincon de soto 4 uds,marca_fabricante,,2.89
CAT-1595,AH-99017,8,"Mismo tipo de producto: queso fresco de cabra. Marca blanca se compara por tipo, pequeña diferencia en marca específica (Albe) pero mismo producto.",Queso fresco Albe 1kg,Queso fresco de cabra,marca_blanca,,5.0
CAT-8598,AH-98692,8,Mismo producto: jamón cocido extra Campofrío. Pequeña diferencia en subtipo específico (Naturarte vs genérico) pero misma marca y tipo.,Jamón cocido extra Campofrío,jamon cocido extra campofrio natur arte 120 g,marca_fabricante,Naturarte,10.9
CAT-1053,AH-98534,8,Mismo producto: cerveza 1906 reserva especial. Pequeña diferencia en tamaño (no especificado vs 50cl) pero mismo producto.,Cerveza rubia lata reserva especial 1906 50cl,Cerveza extra 1906 reserva especial,marca_fabricante,,1.1
CAT-8914,AH-98474,8,"mismo vino tinto crianza Mucho Más, sin especificar tamaño en AH pero estructura coincide",Vino tinto Mucho Más,vino tinto crianza mucho mas 75 cl,marca_fabricante,Mucho-Mas,6.35
CAT-8717,AH-98435,8,mismo producto con mínima diferencia: tónica zero Schweppes lata 33cl (catálogo especifica 'pink' pero es la misma línea),Tónica zero Schweppes lata 33cl,tonica pink zero schweppes lata 33 cl,marca_fabricante,Schweppes,0.99
CAT-8281,AM-75946,8,"mismo producto con diferencia mínima de tamaño: pizza Ristorante Dr Oetker Speciale (345g vs 330g, diferencia no relevante)",Pizza Ristorante Dr Oetker 330g speciale,pizza speciale ristorante dr oetker 345 g,marca_fabricante,Ristorante,3.95
CAT-8840,AH-99157,8,"mismo producto con variante similar: helado Häagen-Dazs chocolate (catálogo brownie vs AhorraMas chocolate belga, misma línea)",Helado Häagen-Dazs bhocolate belga 4 uds,helado chocolate brownie haagen dazs 349 g,marca_fabricante,Haagen-Dazs,7.49
CAT-2559,AH-98162,8,"mismo producto base mermelada melocotón, versión extra marca blanca",Mermelada extra Alipende 410g melocotón,Mermelada de melocotón,marca_blanca,,1.35
CAT-4372,AH-98416,8,"vino blanco Marqués de Vizhoja, mismo productor pero posible variante albariño",Vino blanco Marqués de Vizhoja albariño,vino blanco marques de vizhoja 75 cl,marca_fabricante,Marques-De-Vizhoja,4.75
CAT-4153,AM-66925,8,"croquetas cocido y jamón serrano La Cocinera, mismo producto con diferente descripción",Croquetas artesanas cocido y jamón serrano La Cocinera 500g,croquetas de cocido casero y jamon serrano la cocinera 500 g ,marca_fabricante,La-Cocinera,4.99
CAT-1145,AH-98239,8,"café con leche Dolce Gusto (Nescafé), pequeña diferencia en especificación de cantidad de cápsulas",Café con leche Nescafé Dolce Gusto 30 cápsulas,Café con leche en cápsula Dolce Gusto,marca_fabricante,,8.55
CAT-6156,AH-99549,8,"suavizante concentrado Mimosín pieles sensibles, pero diferente número de lavados (105 vs 56)",Suavizante concentrado Mimosín 56 lavados caricias pieles sensibles,suavizante concentrado caricias pieles sensibles mimosin 105 lavados,marca_fabricante,Mimosin,3.79
CAT-0966,AH-99298,8,"bebida de almendras sin azúcar, marca distinta (Alpro vs marca blanca) pero mismo tipo de producto",Bebida de almendras Alpro 1l,Bebida de almendras 0% azúcar,marca_blanca,,2.09
CAT-6079,AH-99546,8,mismo producto con variación de cantidad - Detergente Skip Limpieza Profunda (diferencia en número de lavados),Detergente líquido Skip Limpieza Profunda 35+18 lavados 50% GRATIS,detergente liquido limpieza profunda skip 45 lavados,marca_fabricante,Skip-Ultimate,7.99
CAT-1983,AH-98298,8,producto muy similar pero marca diferente - Masa de hojaldre sin gluten (marca blanca vs Cerelia),Masa de hojaldre sin gluten Cerelia 280g,Masa de hojaldre sin gluten,marca_blanca,,2.8
CAT-6599,AH-98252,8,"patatas fritas Santa Ana misma marca y tipo, pequeña diferencia en descripción (sin gluten no mencionado en AhorraMas)",Patatas fritas churrería Santa Ana 261g,patatas fritas churreria santa ana sin gluten 261 g,marca_fabricante,Santa-Ana,2.79
CAT-0831,AH-98267,8,"snack de patata marca blanca, ligera diferencia nomenclatura (sticks vs snack) pero mismo producto",Snack de patata Alipende 125g,Sticks de patata,marca_blanca,,1.08
CAT-0170,AH-98649,8,pechugas de pollo mismo producto pero presentación lote vs unitario,LOTE 2 kg de pechugas de pollo,Pechugas enteras de pollo,marca_fabricante,,6.99
CAT-0611,AH-98255,8,"mismo producto: sazonador burritos, marca blanca vs Old Paso (marca fabricante diferente)",Sazonador Old Paso 40g burritos,Sazonador para burritos,marca_blanca,,1.0
CAT-1982,AH-99194,8,"mismo tipo de helado mini bombón, variante muy similar (surtido vs super bombón)",Helado super bombón mini Alipende 8uds,Helado mini bombón surtido,marca_blanca,,2.5
CAT-2876,AH-98891,8,"mismo producto: salchichón en lonchas marca blanca, variante pavo vs no especificado",Salchichón en lonchas Alipende pack 4 de 50g,Salchichón de pavo extra lonchas,marca_blanca,,1.71
CAT-2807,AM-14061,8,"mismo producto: secreto de cerdo, variante Duroc (especificación de raza)",Secreto de cerdo duroc,Secreto de cerdo,marca_fabricante,,10.99
CAT-2860,AH-98292,8,"mismo producto: galletas rellenas de chocolate marca blanca Alipende, muy similar",Galletas de chocolate min rellenas Alipende 220g,Galletas rebuenas rellenas de chocolate,marca_blanca,,0.95
CAT-3227,AH-98979,8,"mismo producto: remolacha cocida pelada, sin marca especificada en catálogo",Remolacha cocida y pelada 500g,Remolacha cocida y pelada,marca_fabricante,,1.39
CAT-5849,AH-98711,9,"Mismo producto exacto: mortadela ahumada Mrm, misma marca fabricante.",Mortadela ahumada Mrm,mortadela ahumada mrm 170 g aprox,marca_fabricante,Mrm,8.49
CAT-3563,AH-99340,9,Mismo producto: margarina ligera marca blanca Alipende con oliva.,Margarina ligera Alipende 250g oliva,Margarina ligera,marca_blanca,,1.4
CAT-6429,AH-99403,9,Mismo producto: snack Vitakraft Beef stick para perro.,Snack  stick perro Vitakraft Beef 12g,snack de buey para perro vitakraft beef stick,marca_fabricante,Vitakraft,0.65
CAT-0485,AM-23796,10,Mismo producto exacto: cerveza sin alcohol Mahou 0.0% tostada,Cerveza sin alcohol Mahou 00 Tostada lata 33cl,"Cerveza 0,0% sin alcohol tostada Mahou",marca_fabricante,,0.7
CAT-0607,AH-98907,10,Mismo producto marca blanca: maíz dulce,Maíz dulce 400gr,Maíz dulce,marca_blanca,,1.99
CAT-0694,AH-98431,10,Mismo producto: agua mineral con gas Fonter,Agua mineral con gas Fonter 1l,Agua mineral con gas grande Fonter,marca_fabricante,,1.14
CAT-0277,AH-98284,10,Mismo producto marca blanca: café molido descafeinado,Café molido descafeinado Alipende 250g mezcla 50/50,Café molido descafeinado,marca_blanca,,2.95
CAT-5233,AH-99192,10,Mismo producto exacto: helado Haagen-Dazs 4 uds caramel collection,Helado Haagen-Dazs 4 uds caramel collection,surtido de helados caramel collection hagen dazs 4 uds,marca_fabricante,Haagen-Dazs,7.49
CAT-8147,AH-98479,10,Mismo producto: Brandy Terry Centenario 70cl,Brandy Terry Centenario botella 700ml,brandy terry centenario 70 cl,marca_fabricante,Centenario,7.25
CAT-0074,AH-98171,10,Mismo producto: cacao soluble instantáneo Nesquik,Cacao en polvo instantáneo Nesquik 390g,Cacao soluble instantáneo Nesquik,marca_fabricante,,3.7
CAT-2011,AH-98144,10,Mismo producto marca blanca: caldo de cocido,Caldo de cocido Alipende 1l,Caldo de cocido,marca_blanca,,1.2
CAT-6423,AH-99412,10,Mismo producto: comida periquito Vitakraft 500g,Comida periquito Vitakraft 500g,comida para periquitos vitakraft 500 g,marca_fabricante,Vitakraft,2.99
CAT-1829,AH-98216,10,Mismo producto marca blanca: sardinas en aceite de oliva,Sardinas en aceite de oliva Alipende 2 unidades 85g,Sardinas en aceite de oliva,marca_blanca,,2.19
CAT-0813,AH-98552,10,Mismo producto: bebida isotónica melocotón rojo Aquarius,Bebida isotónica de melocotón rojo Aquarius 33cl lata,Bebida isotónica melocotón rojo Aquarius,marca_fabricante,,0.99
CAT-1915,AH-99097,10,Mismo producto: tinta de sepia Nortindal congelada,Tinta de sepia Nortindal pack 4x4g congelada,Tinta de sepia Nortindal congelada,marca_fabricante,,0.99
CAT-9441,AH-99118,10,Mismo producto: pizza funghi Ristorante Dr Oetker 365g,Pizza Ristorante Dr Oetker 365g funghi,pizza funghi ristorante dr oetker 365 g,marca_fabricante,Ristorante,3.95
CAT-7313,AH-99128,10,Mismo producto: nuggets pollo sin gluten Maheso 300g,Nuggets de pollo sin gluten Maheso 300g,nuggets de pollo maheso sin gluten 300 g,marca_fabricante,Maheso,4.49
CAT-5409,AH-98402,10,Mismo producto: vino tinto crianza Beronia DOCA Rioja 75cl,Vino tinto DO Rioja Beronia crianza,vino tinto crianza beronia doca rioja 75 cl,marca_fabricante,Beronia,7.99
CAT-9857,AH-98494,10,"mismo producto exacto, misma marca Castellana, mismo tipo anís dulce",Anís dulce Castellana 70cl,anis la castellana dulce 70 cl,marca_fabricante,Castellana,6.95
CAT-8410,AH-98485,10,"mismo producto exacto, misma marca Blume, mismo tipo vino blanco verdejo DO Rueda",Vino blanco DO Rueda Blume verdejo,vino blanco joven verdejo blume do rueda 75 cl,marca_fabricante,Blume,5.6
CAT-7001,AH-99112,10,"mismo producto exacto, misma marca La Cocinera, mismo tipo tiras de pollo americano",Tiras de pollo americano La Cocinera 360g,tiras de pollo estilo americano la cocinera 360 g,marca_fabricante,La-Cocinera,5.25
CAT-7388,AM-77728,10,"mismo producto exacto, misma marca Fuente Primavera, mismo tipo agua mineral",Agua Fuente Primavera 5l,agua mineral fuente primavera 5 l,marca_fabricante,Carrefour,0.7
CAT-6254,AM-38107,10,"mismo producto exacto, misma marca La Cocinera, misma lasaña barbacoa",Lasaña La Cocinera barbacoa 500g,lasana barbacoa la cocinera 500 g,marca_fabricante,La-Cocinera,3.99
CAT-8280,AM-76572,10,"mismo producto exacto, misma marca Ristorante Dr Oetker, misma pizza prosciutto",Pizza Ristorante Dr Oetker 340g prosciutto,pizza prosciutto ristorante dr oetker 340 g,marca_fabricante,Ristorante,3.95
CAT-0547,AH-98183,10,"mismo producto marca blanca, café molido mezcla Alipende",Café molido Alipende 250g mezcla 50/50,Café molido mezcla,marca_blanca,,2.65
CAT-0504,AH-98271,10,"mismo producto marca blanca, miel de flores Alipende",Miel de flores Alipende 1kg,Miel de flores,marca_blanca,,4.9
CAT-6713,AH-98390,10,"mismo producto exacto, misma marca Alhambra, misma cerveza reserva 1925",Cerveza reserva Alhambra 1925 lata 33cl,cerveza alhambra reserva 1925 lata 33 cl,marca_fabricante,Alhambra,1.0
CAT-2041,AH-98519,10,"mismo producto exacto, misma marca El Coto, mismo vino blanco DO Rioja",Vino blanco DO Rioja El Coto 75cl,Vino blanco El Coto DO Rioja,marca_fabricante,,3.95
CAT-2438,AH-98596,10,"mismo producto exacto, misma marca Jaume Serra, mismo cava brut nature",Cava brut nature Jaume Serra 75cl,Cava brut nature Jaume Serra,marca_fabricante,,3.95
CAT-3255,AH-99247,10,"mismo producto marca blanca, leche desnatada sin lactosa Alipende",Leche sin lactosa Alipende 1l desnatada,Leche desnatada sin lactosa,marca_blanca,,0.91
CAT-2089,AH-99248,10,"mismo producto marca blanca, leche semidesnatada sin lactosa Alipende",Leche sin lactosa Alipende 1l semidesnatada,Leche semidesnatada sin lactosa,marca_blanca,,0.94
CAT-3185,AH-99514,10,"mismo producto marca blanca, judías verdes planas Alipende",Judías verdes Alipende 1kg planas,Judías verdes planas,marca_blanca,,1.75
CAT-4187,AH-98446,10,"mismo producto exacto, misma marca Faustino, mismo vino tinto tempranillo DOCA Rioja",Vino tinto DO Rioja Faustino VII tempranillo,vino tinto tempranillo faustino vii doca rioja 75 cl,marca_fabricante,Faustino,3.49
CAT-4136,AH-99124,10,mismo producto exacto: pannini Dr Oetker jamón y queso 250g,Pannini Dr Oetker 250g jamón y queso,pannini de jamon y queso dr oetker 250 g,marca_fabricante,Droetker,3.39
CAT-0040,AH-99349,10,mismo producto: bebida láctea Puleva Max crecimiento y desarrollo con cereales,Bebida láctea Puleva max crecimiento desarrollo 1l cereales,Bebida láctea con cereales crecimiento y desarrollo Puleva Max,marca_fabricante,,1.89
CAT-9315,AH-98387,10,mismo producto: Red Bull 25cl sabor albaricoque y fresa,Bebida energética Red Bull 25cl albaricoque fresa,red bull bebida energetica albaricoque y fresa lata 25 cl,marca_fabricante,Red-Bull,1.0
CAT-0730,AH-98342,10,mismo producto: bebida isotónica Aquarius limón,Bebida isotónica Aquarius lata 33cl limón,Bebida isotónica limón Aquarius,marca_fabricante,,0.99
CAT-5695,AH-98364,10,mismo producto: cerveza El Águila sin filtrar 33cl,Cerveza sin filtrar Aguila Bote 33cl,cerveza el aguila sin filtrar botella 33 cl,marca_fabricante,El-Aguila,0.75
CAT-4334,AH-98170,10,mismo producto: tomate frito Orlando sin gluten 780g,Tomate frito sin gluten abre fácil Orlando 780g,tomate frito orlando sin gluten brik 780 g,marca_fabricante,Orlando,1.85
CAT-4477,AH-99523,10,mismo producto: leche desnatada Lauki 1l,Leche Lauki 1l desnatada,leche desnatada lauki brik 1 l,marca_fabricante,Lauki,0.96
CAT-1314,AH-98955,10,mismo producto marca blanca: queso de untar light de vaca,Queso de untar light Alipende 250g,Queso untar light de vaca,marca_blanca,,1.33
CAT-9670,AH-99009,10,mismo producto: queso fresco de cabra Burgo de Arias pack 3 unidades,Queso fresco de cabra Burgo de Arias pack de 3 uds,queso fresco de cabra burgo de arias sin gluten pack de 3 unidades de 70 g,marca_fabricante,Burgo-De-Arias,4.59
CAT-0321,AH-98531,10,mismo producto: cerveza El Águila sin filtrar 33cl,Cerveza sin filtrar Águila bot. 33cl,Cerveza El Águila sin filtrar,marca_fabricante,,0.89
CAT-7151,AH-98476,10,mismo producto: cerveza Amstel sin alcohol radler limón 33cl lata,Cerveza tostada 00 radler Amstel lata 33cl,cerveza tostada amstel 00 radler con limon lata 33 cl,marca_fabricante,Amstel,0.79
CAT-5964,AH-98204,10,mismo producto: masa de empanadillas La Napolitana 420g,Masa de empanadilla La Napolitana 420g,masa para empanadillas la napolitana 420 g,marca_fabricante,La-Napolitana,2.33
CAT-9648,AH-99084,10,mismo producto exacto - gamba pelada Antonio y Ricardo 375g,Gamba pelada Antonio y Ricardo 375g 40/60 unidades,gamba pelada congelada 90110 antonio y ricardo 375 g,marca_fabricante,Antonio-Y-Ricardo,6.6
CAT-9434,AH-99077,10,mismo producto exacto - bases de pizza La Cocinera pack 4,Bases de pizza La Cocinera pack 4,base de pizza la cocinera pack de 4 bases de 130 g,marca_fabricante,La-Cocinera,3.99
CAT-1891,AH-98153,10,mismo tipo de producto marca blanca - edulcorante líquido stevia,Edulcorante líquido Alipende 200ml,Edulcorante líquido stevia,marca_blanca,,1.15
CAT-4930,AH-98518,10,mismo vino - tinto crianza Viña Pomal DO Rioja 75cl,Vino tinto DO Rioja crianza Viña Pomal 75cl,vino tinto crianza tempranillo vina pomal doca rioja 75 cl,marca_fabricante,Vina-Pomal,7.99
CAT-4147,AM-58716,10,mismo producto - anillos a la romana sin gluten Pescanova 400g,Anillos a la romana sin gluten Pescanova 400g,anillos a la romana receta clasica pescanova sin gluten 400 g ,marca_fabricante,Pescanova,3.99
CAT-5510,AH-98172,10,mismo producto - salmorejo fresco García Millán 330ml,Salmorejo fresco García Millán 330ml,salmorejo fresco garcia millan 330 ml,marca_fabricante,Garcia-Millan,1.65
CAT-1980,AH-98226,10,mismo producto - chocolate con leche Milka,Chocolate con leche Milka 125g,Chocolate con leche Milka,marca_fabricante,,1.59
CAT-4319,AH-98495,10,mismo vino - rosado Gran Feudo DO Navarra 75cl,Vino rosado DO Navarra Gran Feudo,vino rosado gran feudo do navarra 75 cl,marca_fabricante,Gran-Feudo,3.95
CAT-1101,AH-98513,10,mismo vino - tinto crianza Viña Albali DO Valdepeñas,Vino tinto DO Valdepeñas Viña Albali crianza,Vino tinto crianza Viña Albali DO Valdepeñas,marca_fabricante,,2.79
CAT-3121,AH-99008,10,mismo tipo marca blanca - queso mezcla curado cortado en cuñas,Queso mezcla curado ya cortado Alipende cuñas 250g,Queso curado mezcla cortado en cuñitas,marca_blanca,,3.55
