id_catalogo,id_alcampo,nombre_catalogo,tipo,marca_catalogo,nombre_alcampo,marca_alcampo,precio_alcampo,score,motivo
CAT-3834,AL-56761,manzana roja acidulce,marca_blanca,,Manzanas gala 1 kg.,FRUTA,1.44,6,misma categoría (manzana) pero variedad distinta: roja acidulce vs gala
CAT-0272,AL-11979,caramelos sabor lima sin azúcar,marca_blanca,,MENTOLÍN Caramelos limón & melisa sin azúcar 115 g.,MENTOLÍN,1.75,6,"mismo tipo de caramelos sin azúcar pero sabores distintos (lima vs limón-melisa), marcas diferentes"
CAT-0720,AL-437468,galletas con avena y semillas,marca_blanca,,"GULLÓN Galleta Integral con avena, Trigo y gotas de chocolate negro 425 g.",GULLÓN,1.5,6,"galletas avena y semillas vs galleta integral con avena y chocolate, categoría similar pero productos distintos"
CAT-3173,AL-85652,base de pizza artesana extrafina crujiente ultracongelada,marca_blanca,,CASA TARRADELLAS Masa fresca redonda para pizza fina CASA TARRADELLAS 260 g.,CASA TARRADELLAS,1.19,6,"productos relacionados pero distintos (base pizza ultracongelada vs masa fresca), formatos diferentes"
CAT-1034,AL-54157,jamón cocido extrafino en lonchas,marca_blanca,,"EL POZO Fiambre York en lonchas especiales para sándwich, sin gluten 300 g.",EL POZO,1.61,6,"ambos jamones cocidos en lonchas, similar categoría pero diferentes: extrafino vs York fiambre"
CAT-1936,AL-785156,toallitas bebé aqua,marca_blanca,,WATERWIPES Toallitas humedas para bebe con un 99.9% de agua y una gota de extracto de fruta 60 uds.,WATERWIPES,3.24,6,misma categoría (toallitas bebé) pero marcas muy distintas con diferente composición
CAT-1480,AL-27303,vinagre balsámico de Módena,marca_blanca,,BORGES Vinagre balsámico de Módena botella de 250 ml.,BORGES,2.27,6,"vinagre balsámico de Módena, marca blanca pero marcas diferentes (BORGES), mismo tipo de producto"
CAT-3478,AL-50043,tomates,marca_blanca,,Tomate rama al peso.,MIS VERDURAS SELECCIONADAS,2.38,6,"tomates pero variante diferente (tomates rama vs tomates generales), marca blanca"
CAT-0574,AL-526823,galletas tostadas,marca_blanca,,CUÉTARA Galleta Tostarica 760 g.,CUÉTARA,3.28,6,"galletas tostadas, marca blanca pero marcas diferentes, mismo tipo de producto"
CAT-1929,AL-886343,bálsamo labial color balm rosa medio perlado,marca_blanca,,LIPOSAN Cherry shine Protector (bálsamo) labial hidratante con aroma a cereza.,LIPOSAN,2.74,6,mismo tipo (bálsamo labial LIPOSAN) pero variantes diferentes (rosa medio vs cherry)
CAT-0207,AL-521686,almendra tostada y salada con piel,marca_blanca,,PRODUCTO ALCAMPO Almendras con piel tostadas sin sal añadida 200 g.,PRODUCTO ALCAMPO,2.94,6,"almendras tostadas pero una con sal y otra sin sal, diferencia significativa"
CAT-2028,AL-37929,tortitas de maíz con sabor a jamón,marca_blanca,,BICENTURY Mini tortitas de sabor jamón ibérico BICENTURY NACKIS 70 g.,BICENTURY,1.35,6,"tortitas de maíz con sabor jamón, marcas diferentes, producto similar pero no idéntico"
CAT-4694,AL-77074,filetes lomo de cerdo corte fino,marca_blanca,,Filetes de cinta de lomo de categoria extra.,CERDO BLANCO,3.13,6,ambos filetes de cerdo pero cortes diferentes: fino vs cinta de lomo extra
CAT-5443,AL-439445,rosquito frito con azúcar,marca_blanca,,DONUTS Glacé Rosquillas de azúcar 6 uds 312 g.,DONUTS,3.55,6,productos similares: rosquitas/rosquillas fritas con azúcar pero formatos distintos
CAT-6499,AL-906774,snack de queso madurado de vaca,marca_blanca,,PIK-NIK Queso a tiras especial niños PIK-NIK 80 g.,PIK-NIK,1.99,6,snacks de queso pero formatos diferentes: madurado de vaca vs tiras especial niños
CAT-4557,AL-70559,trucha arco iris abierta a la espalda,marca_blanca,,Trucha (filete),TRUCHA,7.18,6,trucha pero formatos distintos: abierta a la espalda vs filete
CAT-2936,AL-54157,jamón cocido extra finas lonchas,marca_blanca,,"EL POZO Fiambre York en lonchas especiales para sándwich, sin gluten 300 g.",EL POZO,1.61,6,mismo tipo de producto (jamón cocido lonchas) pero variantes diferentes (jamón vs york/fiambre)
CAT-2388,AL-542686,jabón de manos en pastilla glicerina natural,marca_blanca,,NIVEA Creme care Pastilla de jabón con un 96% de ingredientes de origen natural 100 g.,NIVEA,1.0,6,mismo tipo de producto (jabón pastilla) pero marcas distintas: marca blanca vs NIVEA
CAT-6380,AL-245738,queso fresco cottage semidesnatado de vaca,marca_blanca,,AUCHAN Protein + Queso fresco granulado (cottage) con alto contenido en proteina 200 g. Producto Alcampo,PRODUCTO ALCAMPO,1.58,8,"mismo producto: queso fresco cottage de vaca, marca blanca comparada por tipo"
CAT-4061,AL-86035,detergente ropa jabón natural de marsella líquido,marca_blanca,,NETTOCLEAN Detergente líquido para lavar a maquina o a mano con perfume a jabón de Marsella 33 lav. 3 l.,NETTOCLEAN,2.79,8,"mismo producto: detergente líquido jabón Marsella, mismo tipo y formato"
CAT-4023,AL-524477,pistacho tostado sin sal,marca_blanca,,PRODUCTO ALCAMPO Pistachos tostados sin sal añadida 250 g.,PRODUCTO ALCAMPO,3.62,8,"mismo producto: pistacho tostado sin sal, marca blanca comparada por tipo"
CAT-0125,AL-522885,cocktail rodeo,marca_blanca,,PRODUCTO ALCAMPO Cocktail frutos secos 200 G.,PRODUCTO ALCAMPO,1.99,8,"mismo tipo de producto (cocktail), pero uno es rodeo y otro frutos secos, variante similar"
CAT-3417,AL-202273,patatas especial para freír,marca_blanca,,ALCAMPO CULTIVAMOS LO BUENO Patatas para freír malla 2 kg.,ALCAMPO CULTIVAMOS LO BUENO,2.89,8,"mismo producto: patatas para freír, mismo formato malla 2kg"
CAT-3407,AL-202272,patatas para guarnición,marca_blanca,,ALCAMPO CULTIVAMOS LO BUENO Patatas para cocer malla 2 kg.,ALCAMPO CULTIVAMOS LO BUENO,2.89,8,"mismo producto: patatas para guarnición/cocer, mismo formato malla 2kg"
CAT-2928,AL-53291,pechuga de pavo finas lonchas,marca_blanca,,ARGAL Bonnatur Pechuga de pavo cortada en lonchas finas 115 G.,ARGAL,2.95,8,"mismo producto (pechuga pavo lonchas finas), marca blanca vs ARGAL"
CAT-1246,AL-84556,pizza pepperoni barbacoa ultracongelada,marca_blanca,,AUCHAN Pizza barbacoa cocida en horno de piedra 400 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,8,"mismo producto (pizza barbacoa), marca blanca, pequeña diferencia en descripción (pepperoni adicional en catálogo)"
CAT-1826,AL-65623,filetes pechuga de pollo corte fino,marca_blanca,,ROLER La carniceria Pechuga de pollo en filetes extrafinos 320 g.,ROLER,4.45,8,"mismo producto (filetes pechuga pollo), pequeña variación en grosor (fino vs extrafino)"
CAT-1266,AL-42823,bálsamo reparador labios,marca_blanca,,LIPOSAN Protector (bálsamo) labial hidratante con FPS 15.,LIPOSAN,2.48,8,"mismo tipo de producto (bálsamo labial), marca blanca vs fabricante LIPOSAN"
CAT-1323,AL-81082,gel de baño avena piel sensible,marca_blanca,,INSTITUTO ESPAÑOL Gel para baño o ducha con leche y avena INSTITUTO ESPAÑOL 1250 ml.,INSTITUTO ESPAÑOL,2.24,8,"mismo producto (gel baño avena), marca blanca comparada con fabricante, mismo tipo"
CAT-2299,AL-88679,champú infantil multiusos,marca_blanca,,"DENENES Gel y champú infantil, con karité y petit grain, que no pica en los ojos DENENES Original 600 ml.",DENENES,3.75,8,"mismo producto (champú infantil multiusos/gel champú), mismo tipo"
CAT-3168,AL-84556,pizza barbacoa familiar,marca_blanca,,AUCHAN Pizza barbacoa cocida en horno de piedra 400 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,8,"mismo producto (pizza barbacoa), solo diferencia de tamaño (familiar vs estándar 400g)"
CAT-3146,AL-670270,pizza atún ultracongelada,marca_blanca,,AUCHAN Pizza de atún y bacon cocida al horno de piedra 400 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,8,"mismo producto (pizza atún), pequeña variación en ingredientes (atún vs atún y bacon)"
CAT-3147,AL-450247,pizza romana con champiñones salteados,marca_blanca,,"AUCHAN Pizza fresca Romana, cocida en horno de piedra 410 g. Producto Alcampo",PRODUCTO ALCAMPO,2.48,8,"mismo tipo de producto (pizza romana), diferencia en ingredientes secundarios (champiñones salteados vs romana)"
CAT-1216,AL-51810,pavo finas lonchas,marca_blanca,,"EL POZO Fiambre de pavo en lonchas especiales para sándwich, sin gluten 270 g.",EL POZO,1.68,8,"pavo en lonchas finas, mismo producto, marca diferente pero funcionalidad y formato idénticos"
CAT-4196,AL-80069,filetes de vacuno añojo para plancha,marca_blanca,,"Filetes 1ª A de vaca, ideales para empanar o salsa",VACA,7.18,8,"mismo producto: filetes de vacuno para cocinar, pequeña diferencia en descripción (añojo vs 1ª A)"
CAT-0816,AL-54130,bacón en cintas,marca_blanca,,"AUCHAN Bacon cocido cortado en lonchas, elaborado sin gluten y sin lactosa 200 g. Producto Alcampo",PRODUCTO ALCAMPO,2.08,8,"mismo producto: bacón en lonchas, solo diferencia en marca (AUCHAN vs PRODUCTO ALCAMPO)"
CAT-1872,AL-522885,cocktail mezcla,marca_blanca,,PRODUCTO ALCAMPO Cocktail frutos secos 200 G.,PRODUCTO ALCAMPO,1.99,8,"mismo producto (cocktail de frutos secos), distinto formato/presentación"
CAT-1001,AL-15087,café en cápsula ristretto,marca_blanca,,"DOLCE GUSTO Café en cápsulas Ristretto ardenza I11, 16 uds.",NESCAFÉ DOLCE GUSTO,4.7,8,"café cápsula ristretto, mismo tipo, formato y funcionamiento idéntico aunque marca Dolce Gusto"
CAT-0995,AL-14443,café en grano fuerte,marca_blanca,,FORTALEZA Café en grano natural 500 g.,FORTALEZA,11.24,8,"café en grano natural, mismo tipo de producto, marca diferente pero producto equivalente"
CAT-0501,AL-85652,masa fresca pizza,marca_blanca,,CASA TARRADELLAS Masa fresca redonda para pizza fina CASA TARRADELLAS 260 g.,CASA TARRADELLAS,1.19,8,"masa fresca pizza, mismo tipo de producto, marca diferente pero estructura equivalente"
CAT-0274,AL-433756,tiras adhesivas protectoras de poliuretano resistentes al agua,marca_blanca,,HANSAPLAST Apositos resistentes al agua. de 4 tamaños diferentes HANSAPLAST 40 uds.,HANSAPLAST,2.48,8,"tiras adhesivas resistentes al agua, mismo producto, marcas diferentes pero funcionalidad idéntica"
CAT-2412,AL-43769,papel higiénico húmedo,marca_blanca,,"SCOTTEX Calm Papel higiénico húmedo (toallitas WC), con aloe vera, especial pieles sensibles 66 uds.",SCOTTEX,2.84,8,"mismo producto (papel higiénico húmedo), marca blanca vs SCOTTEX"
CAT-2183,AL-86035,detergente ropa de color líquido,marca_blanca,,NETTOCLEAN Detergente líquido para lavar a maquina o a mano con perfume a jabón de Marsella 33 lav. 3 l.,NETTOCLEAN,2.79,8,"mismo producto (detergente líquido ropa), marca blanca vs NETTOCLEAN"
CAT-0393,AL-187201,cacahuete tostado pelado sin sal,marca_blanca,,PRODUCTO ALCAMPO Cacahuetes fritos sin sal añadida PRODUCTO ALCAMPO 200 g.,PRODUCTO ALCAMPO,0.98,8,"cacahuetes tostados sin sal, mismo producto, presentación similar (pelados vs fritos es variante menor)"
CAT-4024,AL-524521,pistacho tostado con sal,marca_blanca,,PRODUCTO ALCAMPO Pistachos tostados y salados 250 g.,PRODUCTO ALCAMPO,3.62,8,"mismo producto: pistacho tostado con sal, marca blanca comparada por tipo"
CAT-1315,AL-82584,chorizo sarta dulce extra de León,marca_blanca,,PALACIOS Chorizo casero dulce de categoria extra PALACIOS 250 g.,PALACIOS,3.39,8,"mismo producto (chorizo dulce extra), pequeña diferencia en descripción (sarta vs casero)"
CAT-0409,AL-27870,café en cápsula descafeinado espresso,marca_blanca,,"DOLCE GUSTO Café en cápsulas descafeinado Espresso I7, 16 uds.",NESCAFÉ DOLCE GUSTO,4.7,8,"mismo producto: café en cápsula descafeinado espresso, mismo formato"
CAT-7999,AL-241752,desatascador de tuberías en gel,marca_blanca,,WC NET Desatascador en gel especial para cabellos y tuberías lentas WC NET 1 L.,WC NET,6.79,8,"mismo producto con pequeñas diferencias en descripción, distinta marca pero mismo tipo"
CAT-0449,AL-906565,cacahuete en polvo desgrasado alto en proteína,marca_blanca,,PRODUCTO ALCAMPO Cacahuete en polvo 75% desgrasado 200 g.,PRODUCTO ALCAMPO,2.74,8,"mismo producto, marca blanca, cacahuete en polvo desgrasado, especificaciones similares"
CAT-2502,AL-86310,vinagre de manzana,marca_blanca,,PRODUCTO ALCAMPO Vinagre de sidra de manzana botella de 500 ml.,PRODUCTO ALCAMPO,1.15,8,"vinagre de manzana mismo producto, diferente formato (500ml vs 1l implícito), marca blanca"
CAT-1506,AL-77074,filetes de lomo de cerdo,marca_blanca,,Filetes de cinta de lomo de categoria extra.,CERDO BLANCO,3.13,8,"mismo producto, marca blanca, filetes de lomo de cerdo, pequeña variación en descripción"
CAT-3466,AL-56272,ensalada César,marca_blanca,,Ensalada César con pollo y queso FLORETTE 205 g.,FLORETTE,3.28,8,"mismo producto: ensalada César con pollo y queso, marca blanca vs FLORETTE"
CAT-3474,AL-55654,tomate ensalada,marca_blanca,,Tomate ensalada al peso.,MIS VERDURAS SELECCIONADAS,1.94,8,"mismo producto: tomate ensalada fresco, pequeña diferencia en presentación"
CAT-3401,AL-73445,berenjena,marca_blanca,,Berenjenas al peso.,MIS VERDURAS SELECCIONADAS,1.59,8,"mismo producto: berenjena fresca, pequeña diferencia en presentación (sarta vs peso)"
CAT-2719,AL-521876,anacardo tostado sin sal,marca_blanca,,PRODUCTO ALCAMPO Anacardos PRODUCTO ALCAMPO 200 g.,PRODUCTO ALCAMPO,2.68,8,"mismo producto: anacardo tostado sin sal, marca blanca comparada por tipo"
CAT-1900,AL-566387,nuez pecana natural pelada,marca_blanca,,PRODUCTO ALCAMPO Nueces pecanas 200 g.,PRODUCTO ALCAMPO,3.88,8,"mismo producto: nuez pecana natural pelada, marca blanca comparada por tipo"
CAT-2828,AL-82584,chorizo dulce extra,marca_blanca,,PALACIOS Chorizo casero dulce de categoria extra PALACIOS 250 g.,PALACIOS,3.39,8,"mismo producto: chorizo dulce extra, mismo código AL"
CAT-4043,AL-512633,copos de avena,marca_fabricante,Brüggen,PRODUCTO ALCAMPO Eat & move Avena integral instantánea 1 kg.,PRODUCTO ALCAMPO,3.87,8,"ambos copos/avena instantánea, marca distinta (Brüggen vs Producto Alcampo) pero mismo tipo de producto"
CAT-2483,AL-63763,crema de vinagre balsámico de Módena,marca_blanca,,BORGES Crema de vinagre balsámico de Módena 250 g.,BORGES,3.41,8,"mismo tipo de producto (crema vinagre balsámico Módena), marca distinta pero producto similar"
CAT-2480,AL-89837,reducción bálsamica de vinagre Pedro Ximénez,marca_blanca,,ALBAREDA Crema de vinagre balsámico al Pedro Ximénez 250 ml,ALBAREDA,2.29,8,"mismo tipo de producto (crema vinagre balsámico Pedro Ximénez), marca distinta pero product similar"
CAT-7088,AL-14443,café en grano extra fuerte,marca_blanca,,FORTALEZA Café en grano natural 500 g.,FORTALEZA,11.24,8,"café en grano, misma categoría, marcas distintas pero mismo tipo de producto"
CAT-4559,AL-73019,boquerón sin limpiar,marca_blanca,,Boquerón calibre 60-100.,BOQUERÓN,1.79,8,"mismo producto: boquerón, con especificación de calibre en Alcampo"
CAT-7186,AL-45322,bálsamo labial nude rosa,marca_blanca,,"LIPOSAN Original Protector (bálsamo) labial hidratante, con ingredientes 100% naturales.",LIPOSAN,2.74,8,"bálsamos labiales hidratantes, marcas distintas (Liposan) pero mismo tipo de producto"
CAT-1209,AL-83026,pizza jamón y queso,marca_blanca,,AUCHAN Pizza de jamón y queso cocida en horno de piedra 405 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,9,"pizza jamón y queso, mismo producto exacto, marca diferente pero especificaciones prácticamente idénticas"
CAT-0198,AL-15087,café en cápsula ristretto napoli,marca_fabricante,Dolce Gusto,"DOLCE GUSTO Café en cápsulas Ristretto ardenza I11, 16 uds.",NESCAFÉ DOLCE GUSTO,4.7,9,"mismo producto exacto, Dolce Gusto cápsula ristretto, misma marca, pequeña variante (napoli vs ardenza)"
CAT-0243,AL-19189,chocolate con leche,marca_fabricante,Milka,MILKA Chocolate con leche Luflée 90 g.,MILKA,1.69,9,"mismo producto exacto, Milka chocolate con leche, misma marca, pequeña variante Luflée"
CAT-3391,AL-75732,batata,marca_blanca,,Batata al peso.,MIS VERDURAS SELECCIONADAS,3.35,10,"mismo producto exacto, marca blanca, solo diferencia de formato"
CAT-0190,AL-14261,café con leche en cápsula,marca_fabricante,Dolce Gusto,DOLCE GUSTO Café en cápsulas con leche 16 uds.,NESCAFÉ DOLCE GUSTO,4.7,10,"mismo producto exacto, misma marca Dolce Gusto"
CAT-0636,AL-14443,café en grano natural,marca_blanca,,FORTALEZA Café en grano natural 500 g.,FORTALEZA,11.24,10,"mismo producto exacto, marca blanca comparada solo por tipo"
CAT-3156,AL-83026,pizza jamón y queso,marca_blanca,,AUCHAN Pizza de jamón y queso cocida en horno de piedra 405 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,10,"mismo producto exacto, marca blanca comparada solo por tipo"
CAT-2120,AL-766535,aguacate,marca_blanca,,Aguacate malla de 500 g.,FRUTA,2.49,10,"mismo producto exacto, marca blanca, solo diferencia de formato"
CAT-1924,AL-46131,gel de baño hidratante,marca_fabricante,Natural Honey,NATURAL HONEY Skin care Gel de baño o ducha hidratante con aceite de almendras dulces 650 ml.,NATURAL HONEY,2.59,10,"mismo producto exacto, misma marca Natural Honey"
CAT-2221,AL-42492,lavavajillas a mano,marca_blanca,,"PRODUCTO ECONÓMICO ALCAMPO Detergente lavavajillas a mano 1,5 l.",PRODUCTO ECONÓMICO ALCAMPO,1.09,10,"mismo producto exacto, marca blanca comparada solo por tipo"
