id_catalogo,id_dia,nombre_catalogo,tipo,marca_catalogo,nombre_dia,marca_dia,precio_dia,score,motivo
CAT-0636,DI-0257,café en grano natural,marca_blanca,,Café en grano natural Dia Cafetería 500 g,Dia Cafetería,5.99,10,"mismo producto exacto, café en grano natural, solo diferencia de formato/tamaño"
CAT-0258,DI-0703,barritas de barquillo con chocolate con leche,marca_fabricante,Huesitos,Barritas de barquillo recubierta de chocolate con leche Huesitos bolsa 120 g,Huesitos,1.95,10,"mismo producto exacto, barritas de barquillo con chocolate Huesitos"
CAT-7296,DI-1031,cardo troceado,marca_blanca,,Cardo troceado Gvtarra 400 g,Gvtarra,3.45,10,"mismo producto exacto, cardo troceado, solo diferencia de marca/tamaño"
CAT-7428,DI-3286,miel de montaña,marca_blanca,,Miel de montaña Mielove de Dia frasco 500 g,Mielove de Dia,4.99,10,"mismo producto exacto, miel de montaña, diferencia de tamaño no afecta"
CAT-7649,DI-2786,cerveza sin alcohol,marca_fabricante,Mahou,Cerveza sin alcohol Mahou 33 cl,Mahou,0.75,10,"mismo producto exacto, cerveza sin alcohol Mahou, misma marca"
CAT-0774,DI-4424,cerveza rubia,marca_fabricante,Amstel,Cerveza Amstel 33 cl,Amstel,0.76,10,"mismo producto exacto, cerveza rubia Amstel, misma marca"
CAT-1501,DI-0295,cerveza rubia,marca_fabricante,Heineken,Cerveza Heineken 33 cl,Heineken,0.67,10,"mismo producto exacto, misma marca Heineken"
CAT-1966,DI-2806,agua de colonia bebé,marca_fabricante,Nenuco,Agua de colonia fragancia original Nenuco botella 650 ml,Nenuco,3.99,10,"mismo producto exacto, agua de colonia Nenuco bebé"
CAT-1217,DI-1632,postre lácteo infantil fresa y plátano,marca_blanca,,Postre lácteo infantil con puré de fresa y plátano Smileat bolsa 100 g,Smileat,1.71,10,"mismo producto exacto, postre lácteo infantil fresa y plátano"
CAT-0465,DI-4595,refresco limón,marca_fabricante,Fanta,Fanta de limón 2 L,Fanta,1.85,10,"mismo producto exacto, misma marca Fanta"
CAT-0179,DI-3552,refresco té sabor limón,marca_fabricante,Fuze Tea,Fuze tea de limón 330 ml,Fuze tea,0.99,10,"mismo producto exacto, misma marca Fuze Tea"
CAT-0985,DI-4518,bitter sin alcohol,marca_fabricante,Kas,Kas bitter 330 ml,Kas,0.99,10,"mismo producto exacto, misma marca Kas"
CAT-0487,DI-4153,refresco de naranja sin gas,marca_blanca,,Refresco de naranja sin gas Dia Upss 1.5 L,Dia Upss,1.15,10,"mismo tipo de producto marca blanca, ignora marca Dia Upss"
CAT-1581,DI-0521,bebida energética original,marca_fabricante,Burn,Bebida energética Burn 500 ml,Burn,1.29,10,"mismo producto exacto, misma marca Burn"
CAT-1583,DI-3560,bebida energética zero,marca_blanca,,Bebida energética cítrica zero Dia El diablo 500 ml,Dia El diablo,0.99,10,"mismo tipo de producto energética zero marca blanca, ignora marca Dia El diablo"
