id_catalogo;nombre_generico;id_dia_propuesto;nombre_dia_propuesto;score;aceptar_si_no
CAT-4680;Filetes lomo de cerdo ibérico adobado;DI-0776;Lomo de cerdo adobado Selección de Dia 300 g;81;SI
CAT-4687;Fiambre de magreta de cerdo adobada;DI-4626;Fiambre de pechuga de pavo adobada Serrano 240 g;72;NO
CAT-4694;Filetes lomo de cerdo corte fino;DI-1761;Filetes de cabeza de lomo de cerdo Selección de Dia 700 g aprox.;79;SI
CAT-4695;Chuletas lomo de cerdo finas;DI-2691;Chuletas de cerdo Selección de Dia 630 g aprox.;76;SI
CAT-4696;Filetes secreto de cerdo;DI-0534;Secreto de cerdo Selección de Dia 500 g aprox.;80;SI
CAT-4700;Chuletas paleta de cerdo;DI-2691;Chuletas de cerdo Selección de Dia 630 g aprox.;83;SI
CAT-4722;Vino tinto dulce de aguja frizzante Rosso Dolce Cueva peccato;DI-2788;Vino tinto Carta de p 75 cl;76;SI
CAT-4765;Pechugas enteras de pollo certificado alimentado con un 50% de maíz;DI-0925;Pechugas enteras de pollo Selección de Dia 750 g aprox.;75;SI
CAT-4769;Picanton entero de pollo;DI-3641;Pollo entero certificado Selección de Dia 2 Kg aprox.;77;NO
CAT-4809;Barra de pan rústica;DI-0831;Barra de pan El molino de Dia 125 g;75;SI
CAT-4813;Barra de pan chapata;DI-0831;Barra de pan El molino de Dia 125 g;75;SI
CAT-4820;Hogaza con semillas 12%;DI-1379;Pan de sandwich con cereales y semillas El molino de Dia 310 g;73;SI
CAT-4829;4 Panes chapata de cristal;DI-2349;Chapata de cristal 2 unidades Cristallino 190 g;86;SI
CAT-4842;2 Panes integrales 100% fino;DI-2335;Macarrones integrales Dia Al Diante 500 g;70;NO
CAT-4849;Barra de pan rústica rebanada;DI-0831;Barra de pan El molino de Dia 125 g;71;SI
CAT-4892;Morcilla de cebolla;DI-0406;Cebolla dulce malla 1 Kg;79;NO
CAT-5060;Pan tostado de maíz y pipas;DI-4419;Pan tostado El molino de Dia 270 g;74;NO
CAT-5095;Albóndigas de vacuno;DI-2060;Albóndigas de cerdo Selección de Dia 400 g;79;NO
CAT-5101;Grissini palitos de pan con sésamo;DI-0042;Palitos de pan con pipas Snatt's 62 g;73;SI
CAT-5104;Picos reventaos;DI-1395;Reventaos El molino de Dia 250 g;75;SI
CAT-5215;Esponja de baño vegetal fibras naturales;DI-2784;Esponja de baño vegetal suave Dia Imaqe bolsa 1 unidad;77;SI
CAT-5248;8 Magdalenas con azúcar;DI-1351;Magdalenas con mantequilla La abuela bolsa 450 g;80;SI
CAT-5249;8 Magdalenas con pepitas de chocolate;DI-0012;Bollería con pepitas de chocolate con leche Weikis bolsa 240 g;81;SI
CAT-5257;3 Susos relleno de crema;DI-2237;Xuxo de azúcar relleno de crema El molino de Dia 50 g;84;SI
CAT-5260;8 Croissants surtidos rellenos de crema de cacao y crema con leche sabor a chocolate blanco;DI-1700;Chocolate con leche Dolca 100 g;86;NO
CAT-5274;Arreglo para cocido;DI-1008;Arreglo para caldo Selección de Dia 1.15 Kg aprox.;77;NO
CAT-5351;Bombitas de maíz sabor mantequilla;DI-1105;Aperitivo de maíz con sabor a mantequilla Jumpers 100 g;85;SI
CAT-5492;Jamoncitos de ala de pollo congelados;DI-4225;Jamoncitos de pollo Selección de Dia 950 g aprox.;72;SI
CAT-5704;Preparado en polvo gelatina cereza;DI-0509;Preparado para hornear en polvo Royal 96 g;70;SI
CAT-5743;Aceitunas verdes campo real Guerra;DI-4282;Aceitunas verdes con hueso Dia Vegecampo 500 g;71;SI
CAT-5746;Aceitunas manzanilla sabor anchoa con hueso;DI-0339;Aceitunas sabor anchoa con hueso Dia Vegecampo 500 g;86;SI
CAT-5749;Aceitunas verdes partidas XXL Olives Garcia;DI-1665;Aceitunas partidas aliñadas Jolca 185 g;71;SI
CAT-5761;Pepinillos agridulces laminados;DI-0356;Pepinillos agridulces Dia Vegecampo 360 g;81;SI
CAT-5798;Jamón cebo ibérico cortado a máquina;DI-3630;Jamón de cebo de campo ibérico Villar 90 g;71;SI
CAT-5800;Jamón cebo ibérico cortado a tapas;DI-2217;Jamón de cebo ibérico 50% Dia Nuestra Alacena 90 g;71;SI
CAT-5813;Puntas de jamón curado Incarlopsa;DI-1808;Jamón curado Elpozo 1954 100 g;77;NO
CAT-5816;Jamón de bellota ibérico 100% Campo Extremadura;DI-3630;Jamón de cebo de campo ibérico Villar 90 g;79;NO
CAT-5944;Salchichón de bellota ibérico La Hacienda del Ibérico;DI-3627;Salchichón de cebo ibérico extra Villar 90 g;71;SI
CAT-5945;Sticks de salami extra;DI-2231;Salami extra Dia Nuestra Alacena 200 g;71;SI
CAT-5962;Chorizo de bellota ibérico cular Covap;DI-3628;Chorizo ibérico extra Villar 90 g;73;SI
CAT-5963;Chorizo sarta extra ahumado De León;DI-2190;Chorizo de león picante Dia Nuestra Alacena 100 g;70;SI
CAT-5964;Chorizo sarta extra picante De León;DI-2323;Chorizo picante extra Revilla 65 g;84;SI
CAT-5968;Lomo de cebo ibérico cortado a máquina;DI-3629;Lomo de cebo de campo ibérico Villar 90 g;76;SI
CAT-5973;Caña de lomo cebo ibérico La Hacienda del ibérico;DI-2222;Lomo de cebo ibérico 50% Dia Nuestra Alacena 80 g;76;SI
CAT-5974;Lomo de cebo 50% ibérico Estrella de Castilla;DI-2222;Lomo de cebo ibérico 50% Dia Nuestra Alacena 80 g;82;SI
CAT-6060;Tortilla de patata con chorizo;DI-1937;Tortilla de patatas con chorizo Dia Al Punto 600 g;87;SI
CAT-6067;Fideos orientales Yakisoba classic Gallina Blanca;DI-4340;Avecrem Gallina Blanca Avecrem 24 unidades;78;NO
CAT-6068;Fideos orientales Yatekomo sabor pollo Gallina Blanca;DI-3944;Noodles pollo Gallina Blanca Yatekomo 79 g;88;SI
CAT-6178;Agua de colonia S3 Mediterránea;DI-3120;Coquina del Mediterráneo Aligator 250 g;73;NO
CAT-6322;Pimientos secos;DI-0029;Pimientos tricolor bolsa 500 g;75;NO
CAT-6380;Queso fresco cottage semidesnatado de vaca;DI-3726;Queso fresco cottage El ventero 180 g;78;SI
CAT-6475;Queso madurado de cabra con pimentón de la Vera Villa Noble;DI-3024;Pimentón dulce de La Vera Dia Vegecampo 75 g;70;NO
CAT-6483;Queso mezcla semicurado;DI-0106;Queso semicurado Dia El Cencerro 250 g;82;SI
CAT-6548;Parmigiana de berenjena congelada;DI-1147;Berenjena unidad;72;NO
CAT-6566;Cereales cubiertos de chocolate blanco rellenos con leche;DI-1700;Chocolate con leche Dolca 100 g;86;NO
CAT-6614;Champú Hidra Hialurónico Elvive cabello deshidratado;DI-3167;Champú hidra con ácido hialurónico Elvive botella 300 ml;81;SI
CAT-6855;Paté de anchoa;DI-0293;Aceitunas rellenas de anchoa Serpis 130 g;78;NO
CAT-6870;Garbanzo pedrosillano;DI-4677;Garbanzos pedrosillanos Luengo 1 Kg;82;SI
CAT-7088;Café en grano extra fuerte;DI-0257;Café en grano natural Dia Cafetería 500 g;74;SI
CAT-7292;Mezcla de verduras;DI-0413;Sofrito de tomate y verduras Gallina Blanca 325 g;76;NO
CAT-7298;Pimientos del piquillo extra estilo tradicional;DI-1250;Pimientos del piquillo enteros Carretilla 260 g;73;SI
CAT-3230;Caramelos miel sabor limón Pifarré;DI-0463;Caramelos sabor miel y limón Halls bolsa 2 x 32 g;87;SI
CAT-3231;Caramelos eucaliptus mentol Respiral Halls;DI-0641;Caramelos de eucalipto y mentol Respiral bolsa 150 g;80;SI
CAT-3232;Caramelos regaliz mentol Respiral Halls;DI-1058;Caramelos de limón y mentol Respiral bolsa 150 g;79;SI
CAT-7652;Cerveza sin alcohol Falke;DI-0704;Cerveza sin alcohol Dia Ramblers 33 cl;87;SI
CAT-0019;Dulce de leche Chimbote;DI-0220;Tarrina de helado de dulce de leche Dia Temptation 525 g;76;NO
CAT-7681;Comprimidos Dormir;DI-3113;Edulcorante en comprimidos Bonsweet caja 650 unidades;76;NO
CAT-0222;Cacahuetes Chocoiris bañados de chocolate con leche coloreados;DI-1700;Chocolate con leche Dolca 100 g;86;NO
CAT-0239;Disquitos Pintarolas de chocolate con leche coloreados;DI-1700;Chocolate con leche Dolca 100 g;86;NO
CAT-0244;Barritas de chocolate con leche rellenas de leche;DI-0019;Barritas de cereales con chocolate con leche Corny caja 120 g;87;SI
CAT-0247;Cacahuetes chocolate negro;DI-0527;Cacahuetes cubiertos de chocolate Conguitos bolsa 200 g;87;SI
CAT-0252;Chocolatinas de chocolate negro Royal Mints 49% rellenas de crema sabor a menta;DI-1701;Chocolate negro Dolca 100 g;83;SI
CAT-0260;Chocolate negro fundir;DI-1701;Chocolate negro Dolca 100 g;83;SI
CAT-0261;Chocolate con leche fundir;DI-1700;Chocolate con leche Dolca 100 g;86;SI
CAT-0262;Chocolate blanco fundir;DI-0004;Galletas rellenas de chocolate blanco estrellas Principe caja 225 g;82;NO
CAT-0263;Gotas de chocolate negro para fundir;DI-1701;Chocolate negro Dolca 100 g;83;NO
CAT-0582;Bombones de chocolate con leche Mini Peanut Cups relleno de crema y pedazos de cacahuete;DI-1700;Chocolate con leche Dolca 100 g;86;NO
CAT-0610;Barritas de barquillo Meivel rellenas de turrón Viena y cacahuete;DI-2752;Barritas de fruta y cacahuete Nakd caja 140 g;74;SI
CAT-0611;Barritas crujientes bañadas de chocolate con leche;DI-1538;Barritas de cereales y cacao bañadas en chocolate con leche Bicentury caja 120 g;88;
CAT-0822;Chocolate blanco Fussion relleno de crema de avellana y masa filo tostada;DI-3107;Chocolate blanco Dia Temptation 100 g;74;
CAT-0823;Chocolate con leche Fussion relleno de crema de pistacho y masa filo tostada;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-0825;Barritas de barquillo Total Choc bañadas de chocolate con leche;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-0826;Barritas de barquillo Kit-Kat bañadas de chocolate con leche;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-0833;Huevos con disquitos Pascua de chocolate;DI-4048;Conejo de Pascua de chocolate con leche 80 g;78;
CAT-0834;Barritas de galleta y caramelo bañadas de chocolate con leche;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-1074;Pistachos bañados de chocolate con leche;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-2060;Bombones cereza al licor con chocolate negro;DI-1701;Chocolate negro Dolca 100 g;83;
CAT-2765;Piruleta Pascua de chocolate;DI-2073;Conejos de Pascua de chocolate Laica 70 g;81;
CAT-3220;Grageas de regaliz;DI-0272;Grageas de chocolate con leche Lacasitos bolsa 80 g;71;
CAT-3296;Crema al cacao con avellanas de 2 sabores;DI-0024;Crema de cacao con avellanas original Nocilla bote 180 g;84;
CAT-4106;Chocolate con leche Fussion relleno crema de fresa;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-4207;Barritas de barquillo con relleno de avellana cubiertas de chocolate con leche;DI-1700;Chocolate con leche Dolca 100 g;86;
CAT-4294;Chocolate blanco Fussion relleno de crema de galleta y cacao;DI-3755;Chocolate blanco y galleta Nestlé Jungly 90 g;79;
CAT-0151;Topping de chocolate avellana;DI-3157;Chocolate relleno de avellana caramelizada y galleta Dia Temptation 100 g;84;
CAT-1041;Preparado lácteo con cereales y frutas Peques 3 Puleva;DI-0347;Bebida láctea infantil de crecimiento con cereales y fruta Peques 3 Puleva 3 x 200 ml;70;
CAT-1189;Papilla plátano, fresa, arándanos y avena +8 meses;DI-1141;Arándanos vaso 170 g;78;
CAT-1190;Papilla plátano, mandarina y pera +4 meses;DI-0164;Mandarina malla 1 Kg;75;
CAT-1218;Postre lácteo infantil de cereales y miel +12 meses;DI-1281;Postre lácteo infantil con puré de fresa y manzana Nestlé Yogolino bolsa 100 g;71;
CAT-1979;Papilla 8 cereales con galleta María Nestlé +6 meses;DI-2780;Papilla de cereales y galleta Nestlé caja 475 g;86;
CAT-4222;Papilla verduritas con pollo y ternera Hero Solo +6 meses;DI-0030;Puré de verduritas con pollo y ternera Hero frasco 235 g;82;
CAT-4231;Papilla arroz con pollo Hero Solo +6 meses;DI-1164;Puré de arroz con pollo Hero frasco 235 g;73;
CAT-4232;Papilla zanahorias con arroz en caldito de pollo Hero Solo +6 meses;DI-1164;Puré de arroz con pollo Hero frasco 235 g;79;
CAT-4234;Papilla verduritas con merluza Hero Solo +6 meses;DI-4193;Puré de verduritas con merluza Hero frasco 235 g;78;
CAT-4235;Papilla verduritas con pollo Hero Solo buenas noches +6 meses;DI-4653;Puré de verduritas con pollo Hero frasco 2 x 190 g;75;
CAT-4247;Preparado lácteo con cereales crecimiento +1 año;DI-4201;Bebida láctea crecimiento con cereales +12 meses Nativa 1 L;76;
CAT-4250;Leche de continuación en polvo 2 Nidina Nestlé;DI-2541;Leche de continuación Nativa 1 L;86;
CAT-4251;Leche para lactantes en polvo 1 Nidina Nestlé;DI-4531;Leche en polvo Sveltesse 600 g;74;
CAT-4266;Papilla sin gluten crema de arroz Hero Solo +4 meses;DI-2681;Papilla crema de arroz sin azúcares añadidos Hero caja 220 g;76;
CAT-4267;Papilla 8 cereales Hero Solo +6 meses;DI-1737;Papilla 8 cereales sin azúcares añadidos Hero Baby caja 410 g;76;
CAT-4200;Agua de colonia fresca infantil con notas cítricas;DI-3225;Agua de colonia infantil Planeta Bebé de Dia spray 100 ml;72;
CAT-1276;Toallitas infantiles cara y manos;DI-3224;Toallitas para cara y manos Planeta Bebé de Dia bolsa 20 unidades;80;
CAT-2403;Pañal bebé braguita talla L de 12-18 kg;DI-1976;Pañales 13-20 kg talla L Planeta Bebé de Dia bolsa 20 unidades;73;
CAT-2404;Pañal bebé braguita talla XL de 16-28 kg;DI-1977;Pañales 15-25 kg talla XL Planeta Bebé de Dia bolsa 18 unidades;74;
CAT-3720;Toallitas bebé pieles con tendencia atópica;DI-2954;Toallitas para bebés con piel atópica Planeta Bebé de Dia bolsa 64 unidades;75;
CAT-1588;Gaseosa pequeña;DI-4249;Gaseosa cero Dia 500 ml;74;
CAT-1590;Gaseosa grande;DI-4249;Gaseosa cero Dia 500 ml;74;
CAT-1616;Agua de coco 100% natural;DI-1575;Gel de ducha coco Natural Honey botella 650 ml;81;
CAT-0223;Cerveza especial Steinburg;DI-4157;Cerveza especial Dia Ramblers 33 cl;78;
CAT-0655;Cerveza negra Ambar;DI-4767;Cerveza negra Dia Ramblers 33 cl;88;
CAT-1221;Cerveza Clásica Steinburg;DI-0373;Cerveza clásica Mahou 50 cl;83;
CAT-1504;Cerveza especial Mahou;DI-1873;Cerveza IPA Mahou 33 cl;87;
CAT-1505;Cerveza doble malta Voll-Damm;DI-1672;Cerveza doble malta Voll Damm 33 cl;83;
CAT-2972;Cerveza tostada Turia;DI-1243;Cerveza tostada Amstel Oro 33 cl;83;
CAT-3272;Cerveza Radler Steinburg con zumo natural de limón;DI-0808;Cerveza radler Amstel 33 cl;80;
CAT-3279;Cerveza Shandy Steinburg sabor limón;DI-4580;Cerveza shandy Cruzcampo 33 cl;74;
CAT-4114;Cerveza especial mini Mahou;DI-1873;Cerveza IPA Mahou 33 cl;87;
CAT-0415;Licor mora sin alcohol Pi.omka;DI-2403;Licor de manzana sin alcohol Soñador 70 cl;72;
CAT-0599;Bebida espirituosa centenario Terry;DI-0507;Bebida espirituosa Gladiador 1 L;78;
CAT-0773;Vermouth blanco Maronti;DI-0453;Vermouth blanco Alvini 1 L;84;
CAT-1237;Licor crema de fresa Royal Swan;DI-3384;Licor crema de fresa Quetzalina 70 cl;78;
CAT-1629;Licor de limoncello Franzini;DI-2089;Crema de limoncello Alvini 50 cl;78;
CAT-1630;Aperitivo Aperol;DI-1105;Aperitivo de maíz con sabor a mantequilla Jumpers 100 g;72;
CAT-1635;Vermouth rojo Martini;DI-0454;Vermouth rojo Alvini 1 L;88;
CAT-1637;Bitter Campari;DI-4518;Kas bitter 330 ml;75;
CAT-1647;Licor de hierbas Puente Pazos;DI-2086;Licor de hierbas Mourama 70 cl;80;
CAT-1670;Whisky escocés James Webb;DI-2580;Whisky Dyc 1 L;75;
CAT-2062;Ron blanco superior La Recompensa;DI-1236;Ron blanco Velero 70 cl;74;
CAT-4026;Ron añejo La Recompensa;DI-0046;Ron añejo Brugal 70 cl;72;
CAT-4066;Vermouth rojo Maronti reserva;DI-2713;Vermouth reserva Topaz 75 cl;84;
CAT-4182;Whisky escocés Grand Old Parr 12 años;DI-4668;Whisky 8 años Dyc 70 cl;85;
CAT-0094;Refresco té sabor mango y piña;DI-3453;Refresco de té al mango zero Dia Upss 550 ml;72;
CAT-0106;Refresco té sabor limón para diluir;DI-4248;Refresco de limón Dia Upss 330 ml;78;
CAT-0107;Refresco té sabor melocotón para diluir;DI-2853;Refresco de té con melocotón zero San Benedetto 500 ml;70;
CAT-0123;Bebida isotónica sabor cítrico Iso drink zero;DI-0547;Bebida isotónica zero sabor limón Dia Get move 1.5 L;76;
CAT-0293;Bebida energética Zero Katrine Energy drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-0484;Refresco Berry Lime sin gas;DI-4152;Refresco de limón sin gas Dia Upss 1.5 L;75;
CAT-0488;Refresco té verde sabor maracuyá y mango zero;DI-3453;Refresco de té al mango zero Dia Upss 550 ml;80;
CAT-0489;Refresco piña-coco cero sin gas;DI-1853;Refresco tropical sin gas Enjoy 1.5 L;72;
CAT-0490;Refresco fusión de frutas cero sin gas;DI-1854;Refresco de mix de frutas zero sin gas San Benedetto 400 ml;81;
CAT-0499;Bebida energética Zero Full Tropic Energy drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-0570;Refresco té sabor limón;DI-3210;Refresco de té al limón zero Dia Upss 500 ml;85;
CAT-0576;Limonada light sin gas;DI-1505;Limonada con gas San Pellegrino 330 ml;71;
CAT-0725;Bebida energética Zero Berries Energy drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-0726;Bebida energética Furious Energy drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-0727;Bebida isotónica sabor cítrico Iso drink;DI-4442;Bebida isotónica sabor limón Dia Get move 300 ml;75;
CAT-0729;Bebida isotónica de naranja Iso drink;DI-0388;Bebida isotónica sabor naranja Dia Get move 1.5 L;79;
CAT-1617;Bebida energética Energy Drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-1706;Refresco cola Zero azúcar;DI-0092;Refresco de cola zero Dia Hola Cola 330 ml;84;
CAT-1714;Refresco de limón fresh gas;DI-3135;Refresco de limón con gas Dia Upss 1.5 L;88;
CAT-1718;Refresco lima limón fresh gas;DI-3137;Refresco de lima limón zero Dia Upss 1.5 L;79;
CAT-1721;Refresco lima limón zero azúcar fresh gas;DI-3137;Refresco de lima limón zero Dia Upss 1.5 L;83;
CAT-1730;Bebida isotónica Iso On blue;DI-0379;Bebida isotónica sabor limón Dia Get move 1.5 L;73;
CAT-2846;Bebida energética Energy Drink Zero;DI-0521;Bebida energética Burn 500 ml;87;
CAT-2973;Bebida energética Zero Furious Energy drink;DI-0521;Bebida energética Burn 500 ml;87;
CAT-3777;Refresco té sabor melocotón;DI-2853;Refresco de té con melocotón zero San Benedetto 500 ml;88;
CAT-0211;Vino blanco Chardonnay Mar de Uvas;DI-1268;Vino blanco chardonnay D.O. Castilla Señorío de Ayerbe 75 cl;85;
CAT-0474;Vino tinto tempranillo reserva Pata Negra DO Valdepeñas;DI-1813;Vino tinto reserva D.O. Valdepeñas Viña Danza 75 cl;78;
CAT-0590;Vino blanco espumoso sabor melón frizzante Piccolo Giovanni;DI-1913;Vino blanco frizzante 5º Condominium 75 cl;75;
CAT-0874;Vino blanco Chardonnay Atardecer DO Somontano;DI-1908;Vino blanco Oceanus 75 cl;73;
CAT-1337;Vino blanco verdejo Condado de Teón DO Rueda;DI-4281;Vino blanco verdejo Blume 75 cl;86;
CAT-1389;Vino tinto Syrah Mar de Uvas;DI-1402;Vino tinto Syrah Señorío de Ayerbe 75 cl;81;
CAT-1390;Vino tinto Merlot Mar de Uvas;DI-1403;Vino tinto merlot Señorío de Ayerbe 75 cl;82;
CAT-1689;Sidra natural Polían;DI-1016;Sidra natural Cortina 70 cl;79;
CAT-1692;Cava brut nature reserva vintage Cabré & Sabaté;DI-1894;Cava reserva brut nature Grand Astoria 75 cl;77;
CAT-1697;Bebida zumo de manzana El Lagar sin alcohol;DI-1018;Zumo de manzana Granini 1 L;79;
CAT-2011;Vino tinto crianza Comportillo DO Rioja;DI-0037;Vino tinto crianza D.O. Rioja El coto 75 cl;84;
CAT-2096;Vino blanco Airén Sauvignon Blanc Fidencio DO La Mancha;DI-1908;Vino blanco Oceanus 75 cl;73;
CAT-2098;Vino rosado tempranillo syrah Fidencio DO La Mancha;DI-4444;Vino rosado Peñascal 75 cl;71;
CAT-2101;Vino tinto crianza Fidencio DO La Mancha;DI-1401;Vino tinto Crianza D.O. La Mancha Ribera de Algodor 75 cl;82;
CAT-2102;Vino blanco verdejo Arribeño DO Rueda;DI-4281;Vino blanco verdejo Blume 75 cl;86;
CAT-2105;Vino tinto reserva Abadía Mantrús DO Ribera del Duero;DI-1025;Vino tinto roble D.O. Ribera del Duero Ribera del Duero 75 cl;83;
CAT-2107;Vino rosado Dominio de Borgia;DI-4444;Vino rosado Peñascal 75 cl;71;
CAT-2108;Vino tinto Dominio de Borgia;DI-2788;Vino tinto Carta de p 75 cl;76;
CAT-2142;Bebida refrescante aromatizada tinto sin alcohol light Castillo de Salobreña;DI-0141;Vino tinto Castillo de Velasco 1 L;72;
CAT-2152;Mosto tinto Casón Histórico;DI-4514;Mosto tinto Greip 1 L;79;
CAT-2683;Lambrusco rosado frizzante dell'Emilia Piccolo Giovanni;DI-4744;Vino rosado lambrusco Dante 75 cl;74;
CAT-2753;Vino tinto Pieza Rey DO Rioja;DI-0037;Vino tinto crianza D.O. Rioja El coto 75 cl;73;
CAT-3011;Tinto de verano zero limón Casón Histórico;DI-0044;Fanta de limón zero 2 L;81;
CAT-3241;Vino blanco Casón Histórico;DI-1908;Vino blanco Oceanus 75 cl;73;
CAT-3242;Vino blanco Marina Alta DO Alicante;DI-1908;Vino blanco Oceanus 75 cl;73;
CAT-3248;Vino tinto reserva Comportillo DO Rioja;DI-1835;Vino tinto reserva D.O. Rioja Castillo de Haro 75 cl;80;
CAT-3249;Vino blanco verdejo frizzante DulZ.Ze;DI-1276;Vino blanco verdejo frizzante Condominium 75 cl;88;
CAT-3251;Vino tinto tempranillo syrah suave Caperucita tinta Torre Oria;DI-1909;Vino tinto tempranillo syrah Pinta en Copas 75 cl;79;
CAT-3253;Vino blanco verdejo Abadía Mantrús DO Rueda;DI-4281;Vino blanco verdejo Blume 75 cl;86;
CAT-3270;Vino blanco suave y afrutado El Pescaito;DI-1908;Vino blanco Oceanus 75 cl;73;
CAT-0549;Surtido bombones Senzza de chocolate negro 70%;DI-1701;Chocolate negro Dolca 100 g;83;
CAT-3276;Vino tinto tempranillo Elegido;DI-1909;Vino tinto tempranillo syrah Pinta en Copas 75 cl;85;
CAT-3289;Vino tinto cosecha Comportillo DO Rioja;DI-2981;Vino tinto joven D.O. Rioja Castillo de Haro 75 cl;72;
CAT-3290;Vino rosado Clarete Arteso DO Rioja;DI-1131;Vino rosado D.O. Rioja El coto 75 cl;72;
CAT-3291;Vino blanco dulce Finca La Malcriada DO Valencia;DI-2282;Vino blanco Dulce María 75 cl;85;
CAT-3292;Vino blanco albariño Pazo de Orantes DO Rías Baixas;DI-2079;Vino blanco albariño D.O. Rías Baixas Mourama 75 cl;83;
CAT-3329;Tinto de verano limón Casón Histórico;DI-0520;Tinto de verano con limón La Casera 33 cl;78;
CAT-4068;Vino tinto crianza Abadía Mantrús DO Ribera del Duero;DI-0894;Vino tinto crianza D.O. Ribera del Duero Protos 75 cl;85;
CAT-4286;Vino tinto Arc de Pedra DO València;DI-2788;Vino tinto Carta de p 75 cl;76;
CAT-0010;Fruta + leche tropical Bifrutas;DI-0181;Bifrutas tropical Pascual 1 L;81;
CAT-0199;Fruta + leche piña y coco sin azúcares añadidos;DI-3773;Bebida de fruta y leche de melón y sandía sin azúcares añadidos Dia Saborfera pack 3 x 330 ml;85;
CAT-0307;Smoothie mango y coco;DI-3947;Smoothie de manzana, mango y maracuyá Don Simón 330 ml;86;
CAT-2126;Zumo pura naranja;DI-0114;Zumo de naranja 100% exprimido sin pulpa Dia Saborfera 1 L;83;
CAT-2129;Néctar de piña La Verja;DI-2358;Néctar de piña Dia Saborfera 1 L;81;
CAT-2134;Zumo de piña y uva;DI-3440;Bebida de zumo de pera y piña sin azúcares añadidos Juver 1.5 L;88;
