id_catalogo,id_alcampo,nombre_catalogo,tipo,marca_catalogo,nombre_alcampo,marca_alcampo,precio_alcampo,score,motivo
CAT-1924,AL-46131,gel de baño hidratante,marca_fabricante,Natural Honey,NATURAL HONEY Skin care Gel de baño o ducha hidratante con aceite de almendras dulces 650 ml.,NATURAL HONEY,2.59,10,"mismo producto marca_fabricante Natural Honey, gel de baño hidratante"
CAT-0200,AL-27821,café en cápsula espresso intenso,marca_fabricante,Dolce Gusto,"DOLCE GUSTO Café en cápsulas espreso intenso I7, 16 uds.",NESCAFÉ,4.7,10,"mismo producto marca_fabricante Dolce Gusto, café cápsula espresso intenso"
CAT-3150,AL-85243,pizza pollo,marca_blanca,,AUCHAN Pizza de pollo y pimientos cocida en horno de piedra 410 g. Producto Alcampo,PRODUCTO ALCAMPO,2.48,10,"mismo producto (pizza pollo), marca_blanca ignora diferencia marca"
CAT-7999,AL-241752,desatascador de tuberías en gel,marca_blanca,,WC NET Desatascador en gel especial para cabellos y tuberías lentas WC NET 1 L.,WC NET,6.79,10,"mismo producto (desatascador en gel), marca_blanca ignora diferencia WC NET"
CAT-0636,AL-14443,café en grano natural,marca_blanca,,FORTALEZA Café en grano natural 500 g.,FORTALEZA,11.24,10,"mismo producto (café en grano natural), marca_blanca ignora diferencia de marca"
CAT-0192,AL-27870,café en cápsula descafeinado espresso intenso,marca_fabricante,Dolce Gusto,"DOLCE GUSTO Café en cápsulas descafeinado Espresso I7, 16 uds.",NESCAFÉ DOLCE GUSTO,4.7,10,"mismo producto marca_fabricante Dolce Gusto, café cápsula descafeinado espresso intenso"
CAT-0189,AL-12424,café en cápsula cortado,marca_fabricante,Dolce Gusto,DOLCE GUSTO Café en cápsulas cortado espresso Macchiato 16 uds. .,NESCAFÉ DOLCE GUSTO,4.7,10,"mismo producto marca_fabricante Dolce Gusto, café cápsula cortado"
CAT-0190,AL-14261,café con leche en cápsula,marca_fabricante,Dolce Gusto,DOLCE GUSTO Café en cápsulas con leche 16 uds.,NESCAFÉ DOLCE GUSTO,4.7,10,"mismo producto marca_fabricante Dolce Gusto, café cápsula con leche"
CAT-1888,AL-523870,nuez macadamia tostada con sal,marca_blanca,,PRODUCTO ALCAMPO Nueces de Macadamia tostadas y saladas 100 g.,PRODUCTO ALCAMPO,2.89,10,"mismo producto (nuez macadamia tostada con sal), marca_blanca"
CAT-1882,AL-63511,maíz palomitas,marca_blanca,,FRUMESA Maíz crudo en granos para hacer palomitas 250 g.,FRUMESA,0.8,10,"mismo producto (maíz palomitas), marca_blanca ignora diferencia marca"
CAT-2499,AL-23355,vinagre de vino blanco,marca_blanca,,PRODUCTO ECONÓMICO ALCAMPO Vinagre de vino blanco botella de 1 l.,PRODUCTO ECONÓMICO ALCAMPO,0.68,10,"mismo producto exacto, vinagre de vino blanco, solo varía formato/tamaño"
CAT-2502,AL-86310,vinagre de manzana,marca_blanca,,PRODUCTO ALCAMPO Vinagre de sidra de manzana botella de 500 ml.,PRODUCTO ALCAMPO,1.15,10,"mismo producto exacto, vinagre de manzana/sidra de manzana, solo varía formato/tamaño"
CAT-2221,AL-42492,lavavajillas a mano,marca_blanca,,"PRODUCTO ECONÓMICO ALCAMPO Detergente lavavajillas a mano 1,5 l.",PRODUCTO ECONÓMICO ALCAMPO,1.09,10,"mismo producto exacto, detergente lavavajillas a mano, solo varía formato/tamaño"
CAT-1801,AL-429318,uva blanca sin semillas,marca_blanca,,"Uvas blancas sin pepitas, cesta 500 g.",FRUTA,2.49,10,"mismo producto exacto, uva blanca sin semillas/pepitas, solo varía formato/tamaño"
CAT-2097,AL-72891,fresón,marca_blanca,,"Fresones, tarrina de 250 g.",FRUTA,1.99,10,"mismo producto exacto, fresón/fresones, solo varía formato/tamaño"
CAT-2115,AL-55452,plátano de Canarias IGP,marca_blanca,,Plátano Canario IGP extra bolsa.,FRUTA,2.24,10,"mismo producto exacto, plátano de Canarias IGP, solo varía formato/tamaño"
CAT-2120,AL-766535,aguacate,marca_blanca,,Aguacate malla de 500 g.,FRUTA,2.49,10,"mismo producto exacto, aguacate, solo varía formato/tamaño"
CAT-3391,AL-75732,batata,marca_blanca,,Batata al peso.,MIS VERDURAS SELECCIONADAS,3.35,10,"mismo producto exacto, batata, solo varía formato/tamaño"
CAT-2833,AL-56277,arándanos,marca_blanca,,"Arándanos, tarrina de 170 g.",FRUTOS ROJOS,2.35,10,"mismo producto exacto, arándanos, solo varía formato/tamaño"
