id_catalogo,id_dia,nombre_catalogo,tipo,marca_catalogo,nombre_dia,marca_dia,precio_dia,score,motivo
CAT-1127,DI-0997,mix mini barritas de chocolate,marca_blanca,,Mini barritas de chocolate con leche y avellanas Kinder bolsa 108 g,Kinder,2.99,4,"mini barritas de chocolate pero marca Kinder no coincide con marca_blanca, especificaciones distintas"
CAT-3030,DI-0033,bechamel,marca_blanca,,Crema de bechamel con lenguado Hero frasco 235 g,Hero,1.85,4,ambos bechamel pero diferente: bechamel pura vs bechamel con lenguado
CAT-1019,DI-1703,yogur sabor coco,marca_blanca,,Yogur líquido sabor piña y coco Dia Láctea botella 1 Kg,Dia Láctea,1.49,4,"yogur sabor coco vs yogur líquido piña y coco, formato y sabores diferentes"
CAT-2140,DI-0137,zumo de manzana,marca_blanca,,"Zumo de melocotón, uva y manzana Don Simón 1 L",Don Simón,1.5,4,"zumo de manzana vs zumo mezcla melocotón-uva-manzana, distinto tipo"
CAT-0358,DI-3443,pollo teriyaki,marca_blanca,,Yarroz con pollo teriyaki Gallina Blanca 84 g,Gallina Blanca,1.99,4,"pollo teriyaki vs arroz con pollo, categoría diferente (plato preparado vs componente)"
CAT-0182,DI-2348,café molido,marca_blanca,,Café molido natural Colombia Marcilla 200 g,Marcilla,6.05,4,café molido pero distinta marca fabricante: Dia vs Marcilla
CAT-3306,DI-4742,crema catalana,marca_blanca,,Preparado para crema catalana Royal caja 120 g,Royal,1.99,4,"crema catalana vs preparado para crema catalana, diferente formato (producto terminado vs preparado)"
CAT-0662,DI-1630,confitura de fresa sin azúcar,marca_blanca,,Confitura de arándanos y frambuesas 0% azúcares añadidos Hero bote 280 g,Hero,2.99,4,misma categoría (confituras) pero distinto tipo: fresa vs arándanos-frambuesas
CAT-2636,DI-3006,garbanzo,marca_blanca,,Hélices 100% de garbanzo Gallo 250 g,Gallo,1.99,4,ambos con garbanzo pero diferente formato: garbanzo seco vs hélices/pasta de garbanzo
CAT-4040,DI-0007,yogur líquido de fresa,marca_blanca,,Yogur líquido de fresa y platano Actimel pack 6 x 100 g,Actimel,3.99,4,"yogur líquido, pero sabor distinto (fresa vs fresa+plátano) y marca diferente"
CAT-0748,DI-4613,chocolate con leche avellanas troceadas,marca_blanca,,Chocolate con leche con avellanas Milka 250 g,Milka,5.75,4,"chocolate con leche y avellanas pero marcas distintas (marca_blanca vs Milka), especificaciones diferentes"
CAT-2237,DI-1075,limpiador baños desinfectante,marca_blanca,,Limpiador desinfectante baños Sanytol spray 750 ml,Sanytol,3.29,4,"ambos son limpiadores de baño desinfectantes pero marcas diferentes (Sanytol vs marca_blanca), no coinciden requisitos marca_fabricante"
CAT-2578,DI-3753,queso viejo ahumado de oveja,marca_blanca,,Queso de oveja tierno ahumado 175 g,DIA,3.99,4,"queso viejo ahumado oveja vs queso tierno ahumado oveja, distintos tipos de maduración"
CAT-1112,DI-0903,tarta de queso,marca_blanca,,Preparado para tarta de queso Royal caja 300 g,Royal,3.99,4,"tarta de queso vs preparado para tarta de queso, productos distintos"
CAT-4017,DI-2853,refresco té sabor melocotón sin azúcar,marca_blanca,,Refresco de té con melocotón zero San Benedetto 500 ml,San Benedetto,0.75,4,"marca blanca vs San Benedetto, ambos té melocotón zero pero marcas distintas"
CAT-1568,DI-1468,refresco té verde,marca_blanca,,Refresco de té verde con aloe vera San Benedetto 1.5 L,San Benedetto,1.15,4,"ambos té verde pero marca blanca vs San Benedetto con aloe vera, distinto producto"
CAT-0928,DI-1691,filetes de melva en aceite de oliva,marca_blanca,,Filetes de caballa en aceite de oliva bajo en sal Calvo 82 g,Calvo,2.39,4,"productos de pescado en aceite pero distinto tipo: melva vs caballa, categóricamente diferentes"
CAT-3849,DI-3252,pan rallado,marca_blanca,,Pan rallado sin gluten Panceliac 400 g,Panceliac,2.54,6,"pan rallado vs pan rallado sin gluten, mismo producto base pero variante sin gluten"
CAT-0935,DI-1308,sardinillas reducidas en sal en aceite de oliva,marca_blanca,,Sardinillas en aceite de oliva Albo 82 g,Albo,2.75,6,"sardinillas en aceite oliva marca_blanca, producto similar pero marcas/variantes distintas"
CAT-3491,DI-1107,caldo de verduras,marca_blanca,,Caldo de verduras Gallina Blanca 1 L,Gallina Blanca,2.19,6,"marca_blanca vs marca fabricante Gallina Blanca, mismo tipo caldo verduras, diferente marca real"
CAT-4261,DI-2892,cereales mix sin azúcar,marca_blanca,,Cereales integrales 0% azúcares añadidos mix choco Esgir bolsa 250 g,Esgir,2.45,6,"producto similar (cereales sin azúcar), pero diferente variante (mix vs mix choco específico)"
CAT-0102,DI-0186,café molido natural,marca_blanca,,Café molido natural descafeinado Dia Cafetería 250 g,Dia Cafetería,2.7,6,mismo tipo (café molido) pero diferente variante: natural vs descafeinado
CAT-3490,DI-0622,caldo de pollo bajo en sal,marca_blanca,,Caldo de pollo bajo en sal Gallina Blanca 1 L,Gallina Blanca,2.19,6,"marca_blanca vs marca fabricante Gallina Blanca, mismo tipo caldo pollo bajo sal, diferente marca real"
CAT-2968,DI-0891,sopa maravilla,marca_blanca,,Sopa de pollo con maravilla Gallina Blanca 85 g,Gallina Blanca,0.89,6,"sopa marca_blanca vs sopa específica pollo con maravilla, variante distinta"
CAT-3312,DI-1332,molinillo mix pimientas,marca_blanca,,Molinillo de pimientas Toque frasco 45 g,Toque,2.95,6,"marca_blanca vs marca fabricante Toque, mismo tipo molinillo pimientas, diferente marca real"
CAT-2902,DI-0450,maxi york,marca_blanca,,Maxi York Elpozo 300 g,Elpozo,1.99,6,"marca_blanca vs marca fabricante Elpozo, mismo producto Maxi York, diferente marca real"
CAT-2864,DI-3842,jamón de cebo ibérico 50% raza ibérica,marca_blanca,,Jamón de cebo 50% raza ibérica Villar 90 g,Villar,6.99,6,"marca_blanca vs marca fabricante Villar, mismo tipo jamón ibérico 50%, pero diferente marca real"
CAT-0059,DI-1385,café con leche descafeinado,marca_blanca,,Cápsulas de café con leche descafeinado Dolce Gusto 16 unidades,Nescafé,5.29,6,café con leche descafeinado pero diferente formato (cápsulas vs bebida)
CAT-2839,DI-0706,taquitos de chorizo,marca_fabricante,Revilla,Chorizo Revilla 65 g,Revilla,1.0,6,"taquitos de chorizo vs chorizo, mismo producto base pero formato distinto"
CAT-0003,DI-1153,batido de chocolate,marca_blanca,,Batido de chocolate Cacaolat botella 1 L,Cacaolat,2.44,6,batido chocolate - mismo tipo pero marca diferente (genérico vs Cacaolat)
CAT-0547,DI-0005,galletas digestive,marca_blanca,,Galletas digestive con muesli Gullón caja 365 g,Gullón,2.19,6,"ambas digestive pero DIA es con muesli, variante distinta"
CAT-1022,DI-0544,yogur sabor fresa,marca_blanca,,"Yogur desnatado sabor limón, fresa y piña Dia Láctea pack 6 x 125 g",Dia Láctea,1.29,6,"yogur sabor fresa vs mezcla de sabores (limón, fresa, piña), sabor parcial coincidente"
CAT-0086,DI-3806,bebida láctea desnatada con omega 3,marca_blanca,,Bebida láctea desnatada con colágeno vita calcio Puleva 1 L,Puleva,1.75,6,"ambas bebidas lácteas desnatadas pero con ingredientes adicionales distintos (omega 3 vs colágeno), categoría similar pero producto ligeramente diferente"
CAT-3418,DI-1199,ensalada de pasta,marca_blanca,,Ensalada de pasta y rúcula Florette 325 g,Florette,3.09,6,mismo tipo (ensalada de pasta) pero marca diferente y composición distinta (añade rúcula)
CAT-3479,DI-0738,tomates pera,marca_blanca,,Tomates cherry pera bandeja 250 g,DIA,1.39,6,tomate pera vs cherry pera: variantes diferentes dentro de la categoría tomate
CAT-1345,DI-2734,rodillo quitapelusas,marca_blanca,,Rodillo quitapelusas Scotch brite 1 unidad,Scotch brite,3.49,6,"mismo producto marca_blanca rodillo quitapelusas, pero marca DIA es Scotch brite (marca_fabricante diferente)"
CAT-0989,DI-0821,azúcar blanco,marca_blanca,,Azúcar blanco en azucarillos Azucarera caja 300 g,Azucarera,1.25,6,"azúcar blanco pero en formatos distintos (granel vs azucarillos), mismo tipo base"
CAT-0396,DI-1782,crema de calabaza,marca_blanca,,"Crema de zanahoria, calabaza y guisantes Knorr 500 ml",Knorr,2.49,6,"mismo tipo (crema verduras), pero diferentes ingredientes (calabaza vs zanahoria-calabaza-guisantes)"
CAT-0508,DI-0672,tortitas de arroz,marca_blanca,,Tortitas de arroz integral sabor yogur Bicentury bolsa 130 g,Bicentury,2.85,6,"tortitas de arroz mismo tipo pero DIA añade sabor yogur e integral, catálogo es marca_blanca"
CAT-3100,DI-0558,tallarines,marca_blanca,,Tallarines parmesana Gallina Blanca 143 g,Gallina Blanca,2.59,6,"mismo tipo (tallarines), diferente marca (Gallina Blanca) y variante (parmesana)"
CAT-3466,DI-2104,ensalada César,marca_blanca,,Ensalada César Dia Al Punto 210 g,Dia Al Punto,2.79,6,"ensalada César, marca diferente, producto similar pero posible composición distinta"
CAT-3449,DI-1871,acelgas,marca_blanca,,Acelgas Ybarra 425 g,Ybarra,1.95,6,"acelgas, marca diferente, presentación similar pero posible diferencia en estado"
CAT-0259,DI-3104,chocolate negro 70% cacao para fundir sin azúcar,marca_blanca,,Chocolate negro 85% cacao sin azúcares añadidos Dia Temptation 100 g,Dia Temptation,2.29,6,"producto similar (chocolate negro sin azúcar), pero diferente % cacao (70% vs 85%) y distinta variante"
CAT-0517,DI-0408,galletas María,marca_blanca,,Galletas maría sin azúcares Gullón caja 400 g,Gullón,2.65,6,"galletas maría similares pero DIA es sin azúcares, marca_blanca compara tipo"
CAT-2137,DI-0483,bebida de 5 frutas sin azúcar,marca_blanca,,Bebida de zumo 10 frutas sin azúcares añadidos Juver Disfruta brik 6 x 200 ml,Juver,2.85,6,"bebida sin azúcar pero diferente (5 frutas vs 10 frutas), marcas distintas"
CAT-2192,DI-4218,filetes de pavo contramuslo,marca_blanca,,Filetes de contramuslo de pollo Selección de Dia 650 g aprox.,Selección de Dia,4.54,6,filetes similares pero diferente corte (pavo contramuslo vs pollo contramuslo)
CAT-2901,DI-1714,jamón de pavo,marca_blanca,,Jamón de pavo con trufa y boletus Elpozo 120 g,Elpozo,2.0,6,"jamón de pavo base, pero DIA es jamón de pavo con trufa y boletus (variante con ingredientes adicionales)"
CAT-0680,DI-0095,bizcocho,marca_blanca,,Bizcocho ositos lulú rellenos de chocolate Fontaneda caja 150 g,Fontaneda,2.3,6,"bizcocho genérico vs bizcocho ositos específico, misma categoría pero subtipo diferente"
CAT-1710,DI-3134,refresco de naranja con gas,marca_blanca,,Refresco de naranja con gas zero Dia Upss 1.5 L,Dia Upss,0.78,6,"refresco naranja con gas vs naranja zero, mismo tipo pero variante diferente (normal vs zero)"
CAT-2015,DI-0818,vino tinto tempranillo crianza,marca_blanca,,Vino tinto crianza D.O. Valdepeñas Señorío de Los Llanos 75 cl,Señorío de Los Llanos,2.25,6,"vino tinto crianza Valdepeñas marca blanca vs Señorío de Los Llanos, mismo tipo pero marca distinta"
CAT-2733,DI-2531,eneldo,marca_blanca,,Salsa de mostaza y eneldo Dia Salseo 210 g,Dia Salseo,1.79,6,eneldo vs salsa de mostaza y eneldo - mismo ingrediente base pero producto diferente (salsa vs condimento)
CAT-3348,DI-2410,flan de vainilla con caramelo,marca_blanca,,Copa de vainilla con caramelo y nata Dia Caprichoso pack 4 x 115 g,Dia Caprichoso,1.39,6,flan vainilla con caramelo vs copa vainilla con caramelo - productos similares pero formato diferente
CAT-0038,DI-0598,leche semidesnatada,marca_blanca,,Leche semidesnatada sin lactosa Central Lechera Asturiana 1 L,Central Lechera Asturiana,1.25,6,leche semidesnatada pero con atributo sin lactosa que no menciona catálogo
CAT-0001,DI-1938,chocolate líquido a la taza,marca_blanca,,Chocolate a la taza Ram 1 L,Ram,2.95,6,chocolate a la taza - mismo producto pero marca diferente (genérico vs Ram)
CAT-2736,DI-3866,cebolla caramelizada,marca_blanca,,Salsa de cebolla caramelizada Ybarra 250 ml,Ybarra,2.85,6,"cebolla caramelizada vs salsa de cebolla, productos relacionados pero diferentes"
CAT-2174,DI-2624,chocolate negro 55% cacao con almendras,marca_blanca,,Chocolate negro 70% con almendras Trapa 175 g,Trapa,3.5,6,mismo tipo (chocolate negro con almendras) pero porcentaje de cacao diferente (55% vs 70%)
CAT-4281,DI-2391,margarina omega 3,marca_blanca,,Margarina rica en omega 3 Flora 400 g,Flora,3.19,6,"margarina omega 3, misma categoría pero marca distinta (Flora), producto similar pero no idéntico"
CAT-4031,DI-1081,golosinas surtidas,marca_blanca,,Golosinas funky mix Haribo bolsa 150 g,Haribo,1.79,6,"golosinas surtidas vs golosinas Haribo específicas, misma categoría amplia pero subtipos distintos"
CAT-6498,DI-3486,queso tierno de cabra,marca_blanca,,Queso mini tierno de cabra Dia El Cencerro 520 g,Dia El Cencerro,7.79,8,"queso tierno de cabra, variante mini pero mismo tipo base"
CAT-2790,DI-3773,bebida fruta y leche caribe sin azúcares añadidos,marca_blanca,,Bebida de fruta y leche de melón y sandía sin azúcares añadidos Dia Saborfera pack 3 x 330 ml,Dia Saborfera,1.25,8,"bebida fruta y leche sin azúcares, sabor distinto (caribe vs melón-sandía)"
CAT-3437,DI-0031,alcachofa,marca_blanca,,Alcachofa troceada Dia Vegecampo 400 g,Dia Vegecampo,2.65,8,"alcachofa, misma categoría pero distinta presentación (entera vs troceada)"
CAT-4168,DI-2577,infusión frutos rojos,marca_blanca,,Infusión de frutos rojos con hibisco Dia Tetería 12 unidades,Dia Tetería,1.89,8,"infusión de frutos rojos, variante con hibisco añadido, producto muy similar"
CAT-0932,DI-0948,sardinillas en aceite de oliva,marca_blanca,,Sardinillas en aceite de oliva bajo en sal Calvo 60 g,Calvo,1.89,8,"sardinillas en aceite de oliva marca_blanca, variante bajo en sal no es significativa"
CAT-3152,DI-1895,pizza pepperoni,marca_blanca,,Pizza rústica doble pepperoni Dr. Oetker Ristorante 565 g,Dr. Oetker,5.49,8,"mismo producto marca_blanca, pizza pepperoni, pequeña diferencia (pepperoni vs doble pepperoni rústica)"
CAT-3150,DI-0436,pizza pollo,marca_blanca,,Pizza de pollo Casa Tarradellas 410 g,Casa Tarradellas,3.19,8,"mismo producto marca_blanca, pizza de pollo, marca diferente (Casa Tarradellas) pero producto equivalente"
CAT-3004,DI-0983,pizza barbacoa,marca_blanca,,Pizza barbacoa Dr. Oetker Ristorante 340 g,Dr. Oetker,3.85,8,"mismo producto marca_blanca, pizza barbacoa, marca diferente (Dr. Oetker) pero producto equivalente"
CAT-3207,DI-0412,granizado de limón,marca_blanca,,Granizado de limón Mercader 4 x 190 g,Mercader,1.99,8,"mismo producto marca_blanca, granizado de limón, marca diferente (Mercader) pero producto equivalente"
CAT-4269,DI-1325,tarta de queso congelada,marca_blanca,,Tarta de queso con cookies congelada San Martín 350 g,San Martín,5.99,8,"mismo producto marca_blanca, tarta de queso congelada, pequeña diferencia (con/sin cookies)"
CAT-7143,DI-1242,cereales solubles con achicoria,marca_blanca,,Cereales solubles Eko 150 g,Eko,3.69,8,"mismo producto marca_blanca, cereales solubles con achicoria, marca diferente (Eko) pero producto equivalente"
CAT-4249,DI-2541,leche de continuación en polvo 2 nativa,marca_fabricante,Nestlé,Leche de continuación Nativa 1 L,Nativa,2.39,8,"mismo producto (leche continuación Nativa), distinto formato (polvo vs líquido)"
CAT-2826,DI-0127,lomo,marca_blanca,,Cinta de lomo adobada Selección de Dia 900 g aprox.,Selección de Dia,6.74,8,"lomo vs cinta de lomo adobada, mismo corte con variante de preparación"
CAT-1057,DI-0473,copa crema de chocolate y nata,marca_blanca,,Copa de chocolate y nata Dia Caprichoso pack 4 x 115 g,Dia Caprichoso,1.39,8,"copa crema chocolate nata, variante similar, diferente descripción exacta"
CAT-1543,DI-0043,refresco naranja sin azúcar,marca_fabricante,Fanta,Fanta de naranja zero 2 L,Fanta,1.85,8,"Fanta naranja sin azúcar, mismo producto variante zero, diferente formato"
CAT-1586,DI-1139,limonada natural light sin gas,marca_fabricante,Don Simón,Limonada Don Simón 1.5 L,Don Simón,1.27,8,"limonada Don Simón, producto similar pero catalogado como natural light vs genérico"
CAT-0929,DI-0411,filetes de melva con pimientos del piquillo en aceite de oliva,marca_blanca,,Melva en aceite de oliva Ubago 85 g,Ubago,2.85,8,"filetes de melva con pimientos vs melva sin mención de pimientos, mismo producto base con variante"
CAT-0437,DI-0073,pollo asado,marca_blanca,,Tiras de pechuga de pollo asado La pila 125 g,La pila,2.15,8,"pollo asado similar, formato diferente (tiras de pechuga vs entero)"
CAT-0007,DI-1513,batido de chocolate energy,marca_fabricante,ColaCao,Batido de chocolate shake ColaCao 200 ml,ColaCao,1.75,8,"batido chocolate ColaCao mismo producto, variante energy vs shake"
CAT-0241,DI-1042,chocolate negro,marca_fabricante,Valor,Chocolate puro Valor 300 g,Valor,5.25,8,"chocolate negro vs chocolate puro Valor, mismo tipo pero descripción ligeramente diferente"
CAT-2801,DI-0702,compango,marca_blanca,,Compango asturiano Vallina 250 g,Vallina,2.69,8,"mismo producto: compango, pequeña variación en descripción pero mismo tipo"
CAT-2739,DI-2145,detergente lavado a mano en polvo,marca_blanca,,Detergente en polvo a mano Super Paco de Dia caja 600 g,Super Paco de Dia,1.5,8,"mismo producto: detergente lavado a mano en polvo, mismo formato, marca blanca"
CAT-3356,DI-1343,flan de huevo,marca_blanca,,Flan de huevo al baño maría Reina pack 6 x 100 g,Reina,3.49,8,"mismo producto: flan de huevo, pequeña variación en descripción (baño maría especificado en DIA)"
CAT-3918,DI-2459,palmeritas,marca_blanca,,Mini palmeritas de hojaldre Virgen del Brezo bolsa 140 g,Virgen del Brezo,1.85,8,"palmeritas de hojaldre, misma categoría, distinta marca pero producto equivalente"
CAT-7989,DI-0654,limpiahogar desinfectante,marca_blanca,,Limpiador desinfectante limpiahogar Sanytol botella 1.2 L,Sanytol,3.25,8,"limpiahogar desinfectante, mismo producto con distinta marca (Sanytol)"
CAT-1583,DI-3560,bebida energética zero,marca_blanca,,Bebida energética cítrica zero Dia El diablo 500 ml,Dia El diablo,0.99,8,"bebida energética zero marca blanca, similar a Dia El diablo"
CAT-1696,DI-4286,cava brut,marca_fabricante,Anna Codorníu,Cava brut Anna Codorníu 75 cl,Codorníu,9.95,8,"cava brut misma variante, marca Anna Codorníu vs Codorníu (variación menor)"
CAT-2951,DI-2131,chorizo oreado,marca_blanca,,Chorizo oreado Selección de Dia 340 g,Selección de Dia,2.69,8,"mismo producto: chorizo oreado, marca blanca"
CAT-1065,DI-0940,mantequilla con sal,marca_blanca,,Mantequilla con sal Central Lechera Asturiana 250 g,Central Lechera Asturiana,3.89,8,"mantequilla con sal, mismo tipo pero marca diferente"
CAT-0915,DI-1464,salsa pimienta verde,marca_blanca,,Salsa pimienta verde Gallina Blanca 59 g,Gallina Blanca,1.99,8,"mismo producto salsa pimienta verde, marca diferente pero categoría idéntica"
CAT-1712,DI-1257,refresco de naranja sin azúcar con gas,marca_blanca,,Refresco de naranja zero Dia Upss 330 ml,Dia Upss,0.37,8,"refresco naranja sin azúcar con gas vs naranja zero, mismo producto con denominación alternativa"
CAT-1708,DI-1412,refresco de cola sin azúcar sin cafeína,marca_blanca,,Refresco de cola zero sin cafeína Dia Hola Cola 330 ml,Dia Hola Cola,0.35,8,"refresco cola sin azúcar sin cafeína vs cola zero sin cafeína, mismo producto con variante similar"
CAT-2127,DI-1338,zumo de naranja puro con pulpa,marca_blanca,,Zumo de naranja con pulpa Don Simón 1 L,Don Simón,3.25,8,"zumo de naranja con pulpa, distinta marca (Don Simón vs marca blanca)"
CAT-3199,DI-1616,helado turrón,marca_blanca,,Helado corte turrón Dia Temptation 520 g,Dia Temptation,2.59,8,"mismo producto: helado turrón, marca blanca"
CAT-3203,DI-2014,helado mini bombón nocciola,marca_blanca,,Helado mini bombón nocciola Dia Temptation 6 x 38 g,Dia Temptation,2.69,8,"mismo producto: helado mini bombón nocciola, marca blanca"
CAT-3245,DI-4590,vino tinto crianza DO Rioja,marca_fabricante,Cune,Vino tinto crianza D.O. Rioja Cvne 75 cl,Cvne,7.25,8,"mismo producto: vino tinto crianza DO Rioja, marca Cune/Cvne (variación nombre), misma marca fabricante"
CAT-1277,DI-0753,preparado crujiente,marca_blanca,,Preparado para rebozar crujiente sin gluten Esgir 200 g,Esgir,1.75,8,"preparado crujiente, mismo producto con diferencia DIA especifica sin gluten"
CAT-0519,DI-2699,galletas digestive chocolate con leche,marca_blanca,,Mini galletas digestive de chocolate con leche Gullón bolsa 160 g,Gullón,1.5,8,"digestive chocolate con leche, mismo producto con variante mini"
CAT-0512,DI-4230,galletas con chocolate y crema de leche,marca_blanca,,Galletas de cacao rellenas de crema bañadas con chocolate con leche Galleteca de Dia caja 252 g,Galleteca de Dia,2.39,8,"mismo producto: galletas chocolate y crema, marca_blanca ignora diferencia de marca"
