id;nombre;categoria;subcategoria
GEN-0060;Mandarina;Frutas y Verduras;Fruta
GEN-0061;Naranja de mesa;Frutas y Verduras;Fruta
GEN-0062;Naranjas;Frutas y Verduras;Fruta
GEN-0063;Pomelo;Frutas y Verduras;Fruta
GEN-0064;Lima;Frutas y Verduras;Fruta
GEN-0065;Coliflor;Frutas y Verduras;Verduras
GEN-0066;Repollo liso;Frutas y Verduras;Verduras
GEN-0067;Repollo liso partido;Frutas y Verduras;Verduras
GEN-0068;Repollo rizado;Frutas y Verduras;Verduras
GEN-0069;Medio repollo rizado;Frutas y Verduras;Verduras
GEN-0070;Coles de bruselas;Frutas y Verduras;Verduras
GEN-0071;Col lombarda;Frutas y Verduras;Verduras
GEN-0072;Media col lombarda;Frutas y Verduras;Verduras
GEN-0073;Lechuga Iceberg;Frutas y Verduras;Verduras
GEN-0074;Ensalada mezcla 4 estaciones lavada;Frutas y Verduras;Verduras
GEN-0075;Lechugas corazón romana;Frutas y Verduras;Verduras
GEN-0076;Ensalada mezcla brotes tiernos lavada;Frutas y Verduras;Verduras
GEN-0077;Canónigos lavados;Frutas y Verduras;Verduras
GEN-0078;Lechuga iceberg cortada y lavada;Frutas y Verduras;Verduras
GEN-0079;Ensalada mezcla gourmet lavada;Frutas y Verduras;Verduras
GEN-0080;Cogollos de lechuga;Frutas y Verduras;Verduras
GEN-0081;Lechuga corazón romana;Frutas y Verduras;Verduras
GEN-0082;Endibias;Frutas y Verduras;Verduras
GEN-0083;Ensalada mezcla brotes tiernos maxi lavada;Frutas y Verduras;Verduras
GEN-0084;Ensalada mezcla gourmet maxi lavada;Frutas y Verduras;Verduras
GEN-0085;Rúcula lavada;Frutas y Verduras;Verduras
GEN-0086;Cogollos corazón de lechuga;Frutas y Verduras;Verduras
GEN-0087;Ensalada mezcla dúo canónigos y rúcula lavada;Frutas y Verduras;Verduras
GEN-0088;Lechuga hoja roble;Frutas y Verduras;Verduras
GEN-0089;Escarola rizada cortada y lavada;Frutas y Verduras;Verduras
GEN-0090;Escarola rizada;Frutas y Verduras;Verduras
GEN-0091;Espinacas baby lavadas;Frutas y Verduras;Verduras
GEN-0092;Lechuga romana cortada y lavada;Frutas y Verduras;Verduras
GEN-0093;Kiwi verde;Frutas y Verduras;Fruta
GEN-0094;Kiwis verdes;Frutas y Verduras;Fruta
GEN-0095;Aguacate;Frutas y Verduras;Fruta
GEN-0096;Aguacates;Frutas y Verduras;Fruta
GEN-0097;Piña;Frutas y Verduras;Fruta
GEN-0098;Media piña;Frutas y Verduras;Fruta
GEN-0099;Piña natural a rodajas;Frutas y Verduras;Fruta
GEN-0100;Guacamole;Platos preparados;Ensaladas listas
GEN-0101;Mango;Frutas y Verduras;Fruta
GEN-0102;Papaya;Frutas y Verduras;Fruta
GEN-0103;Champiñones laminados limpios;Frutas y Verduras;Setas
GEN-0104;Setas;Frutas y Verduras;Setas
GEN-0105;Seta laminada;Frutas y Verduras;Setas
GEN-0106;Champiñones Portobello;Frutas y Verduras;Setas
GEN-0107;Setas shiitake;Frutas y Verduras;Setas
GEN-0108;Mix de setas intenso;Frutas y Verduras;Setas
GEN-0109;Champiñones blancos;Bebidas;Vino
GEN-0110;Ensalada César;Frutas y Verduras;Verduras
GEN-0111;Ensalada California;Frutas y Verduras;Verduras
GEN-0112;Wraps Texas;Platos preparados;Bocadillos y Sándwich listos
GEN-0113;Ensalada de la casa;Frutas y Verduras;Verduras
GEN-0114;Ensalada ensatún;Pescadería;Pescado
GEN-0115;Ensalada de pasta;Despensa;Arroz, pasta y quinoa
GEN-0116;Ensalada queso de cabra;Lácteos y Huevos;Quesos
GEN-0117;Ensalada de pasta Listo para Comer;Despensa;Arroz, pasta y quinoa
GEN-0118;Ensalada de pollo, queso y frutos secos Listo para Comer;Lácteos y Huevos;Quesos
GEN-0119;Fresón;Frutas y Verduras;Fruta
GEN-0120;Frambuesas;Frutas y Verduras;Fruta
GEN-0121;Moras;Frutas y Verduras;Fruta
GEN-0122;Arándanos;Frutas y Verduras;Fruta
GEN-0123;Perejil troceado lavado;Frutas y Verduras;Verduras
GEN-0124;Jengibre;Frutas y Verduras;Verduras
GEN-0125;Cilantro;Frutas y Verduras;Verduras
GEN-0126;Albahaca;Frutas y Verduras;Verduras
GEN-0127;Hierbabuena;Frutas y Verduras;Verduras
GEN-0128;Cebollino;Frutas y Verduras;Verduras
GEN-0129;Espinacas cortadas y lavadas;Frutas y Verduras;Verduras
GEN-0130;Brócoli;Frutas y Verduras;Verduras
GEN-0131;Berenjena;Frutas y Verduras;Verduras
GEN-0132;Judía verde plana;Frutas y Verduras;Verduras
GEN-0133;Acelgas cortadas y lavadas;Frutas y Verduras;Verduras
GEN-0134;Puerros;Frutas y Verduras;Verduras
GEN-0135;Alcachofa;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
GEN-0136;Judía verde redonda;Frutas y Verduras;Verduras
GEN-0137;Calabaza cacahuete cortada a trozos;Frutas y Verduras;Verduras
GEN-0138;Apio verde;Frutas y Verduras;Verduras
GEN-0139;Apio cortado lavado;Frutas y Verduras;Verduras
GEN-0140;Preparado de verdura para cocido;Frutas y Verduras;Verduras
GEN-0141;Espárragos verdes finos;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
GEN-0142;Rabanitos;Frutas y Verduras;Verduras
GEN-0143;Remolacha cocida y pelada;Frutas y Verduras;Verduras
GEN-0144;Acelgas;Frutas y Verduras;Verduras
GEN-0145;Maíz dulce en mazorca cocido;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
GEN-0146;Media calabaza cacahuete;Frutas y Verduras;Verduras
GEN-0147;Espárragos verdes gruesos;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
GEN-0148;Maíz dulce en mazorca;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
GEN-0149;Verdura para crema de calabaza;Frutas y Verduras;Verduras
GEN-0150;Preparado de verduras para sofreír cortado y lavado;Frutas y Verduras;Verduras
GEN-0151;Sopa de verduras cortada y lavada;Conservas y Enlatados;Sopas, cremas y otros preparados
GEN-0152;Salteado de pimientos y cebolla cortado y lavado;Frutas y Verduras;Verduras
GEN-0153;3 Vegetales para microondas lavados;Frutas y Verduras;Verduras
GEN-0154;Floretas de brócoli para microondas lavadas;Frutas y Verduras;Verduras
GEN-0155;Patatas para microondas;Frutas y Verduras;Verduras
GEN-0156;Batatas para microondas;Frutas y Verduras;Verduras
GEN-0157;Floretas de coliflor para microondas;Frutas y Verduras;Verduras
GEN-0158;Salteado de verduras para microondas cortado y lavado;Frutas y Verduras;Verduras
GEN-0159;Medio salmón;Pescadería;Pescado
GEN-0160;Filete de salmón;Pescadería;Pescado
GEN-0161;Escalopin de salmón;Pescadería;Pescado
GEN-0162;Rodaja de salmón;Pescadería;Pescado
GEN-0163;Dorada limpia;Pescadería;Pescado
GEN-0164;Dorada abierta a la espalda;Pescadería;Pescado
GEN-0165;Filetes de dorada;Pescadería;Pescado
GEN-0166;Preparado de paella y sopa ultracongelado;Conservas y Enlatados;Sopas, cremas y otros preparados
GEN-0167;Arreglo de marisco pelado;Platos preparados;Ensaladas listas
GEN-0168;Gambón grande congelado;Congelados;Verduras congeladas
GEN-0169;Alistado pequeño congelado;Congelados;Verduras congeladas
GEN-0170;Alistado mediano ultracongelado;Congelados;Verduras congeladas
GEN-0171;Langostino crudo ultracongelado;Pescadería;Marisco
GEN-0172;Gamba arrocera pequeña congelada;Pescadería;Marisco
GEN-0173;Gamba cocida;Pescadería;Marisco
GEN-0174;Gamba pelada cruda tamaño mediano ultracongelada;Pescadería;Marisco
GEN-0175;Gamba pelada cruda tamaño grande ultracongelada;Pescadería;Marisco
GEN-0176;Camarón boreal cocido y pelado Greenland ultracongelado;Congelados;Verduras congeladas
GEN-0177;Langostino cocido y pelado ultracongelado;Pescadería;Marisco
GEN-0178;Langostino crudo y pelado ultracongelado;Pescadería;Marisco
GEN-0179;Cigala cruda mediana ultracongelada;Pescadería;Marisco
GEN-0180;Bogavante americano mediano crudo;Pescadería;Marisco
GEN-0181;Buey de mar cocido congelado;Pescadería;Marisco
GEN-0182;Colas de gambón crudo congelado;Congelados;Verduras congeladas
GEN-0183;Langostino cocido;Pescadería;Marisco
GEN-0184;Salpicón de marisco;Platos preparados;Ensaladas listas
GEN-0185;Nécora cocida;Pescadería;Marisco
GEN-0186;Buey de mar cocido;Pescadería;Marisco
GEN-0187;Lubina limpia;Pescadería;Pescado
GEN-0188;Lubina abierta a la espalda;Pescadería;Pescado
GEN-0189;Filete de lubina;Pescadería;Pescado
GEN-0190;Carne de mejillón de Chile cocido ultracongelado;Pescadería;Moluscos
GEN-0191;Mejillón de Chile entero cocido ultracongelado;Pescadería;Moluscos
GEN-0192;Almeja congelada;Pescadería;Moluscos
GEN-0193;Mejillón tigre ultracongelado;Pescadería;Moluscos
GEN-0194;Ostra viva;Pescadería;Moluscos
GEN-0195;Chirla viva;Pescadería;Moluscos
GEN-0196;Mejillón vivo;Pescadería;Moluscos
GEN-0197;Almeja japonesa viva;Pescadería;Moluscos
GEN-0198;Mejillón vivo selección;Pescadería;Moluscos
GEN-0199;Berberecho vivo;Pescadería;Moluscos
GEN-0200;Navaja viva;Pescadería;Moluscos
GEN-0201;Rodajas de merluza del Cabo descongelada;Pescadería;Pescado
GEN-0202;Porciones de merluza del Cabo;Pescadería;Pescado
GEN-0203;Palitos de surimi;Pescadería;Pescado
GEN-0204;Palitos de surimi ultracongelados;Congelados;Verduras congeladas
GEN-0205;Muslitos de surimi ultracongelados;Congelados;Verduras congeladas
GEN-0206;Delicias del mar de surimi;Pescadería;Pescado
GEN-0207;Bacalao al punto de sal descongelado;Pescadería;Pescado
GEN-0208;Hoja de bacalao;Pescadería;Pescado
GEN-0209;Vino tinto Casón Histórico;Bebidas;Vino
GEN-0210;Vino tinto;Bebidas;Vino
GEN-0211;Vino tinto tempranillo Elegido;Bebidas;Vino
GEN-0212;Vino tinto Dominio de Borgia;Bebidas;Vino
GEN-0213;Vino tinto tempranillo Hacienda Zargón;Bebidas;Vino
GEN-0214;Vino tinto crianza El Coto DO Rioja;Bebidas;Vino
GEN-0215;Vino tinto cosecha Comportillo DO Rioja;Bebidas;Vino
GEN-0216;Vino tinto crianza Cune DO Rioja;Bebidas;Vino
GEN-0217;Vino tinto crianza Comportillo DO Rioja;Bebidas;Vino
GEN-0218;Vino tinto reserva Comportillo DO Rioja;Bebidas;Vino
GEN-0219;Vino tinto reserva Coto de Imaz DO Rioja;Bebidas;Vino
GEN-0220;Vino tinto Pieza Rey DO Rioja;Bebidas;Vino
GEN-0221;Vino tinto crianza Viña Albali DO Valdepeñas;Bebidas;Vino
GEN-0222;Vino tinto tempranillo reserva Pata Negra DO Valdepeñas;Bebidas;Vino
GEN-0223;Vino tinto tempranillo crianza Señorío de los Llanos DO Valdepeñas;Bebidas;Vino
GEN-0224;Vino tinto crianza Fidencio DO La Mancha;Bebidas;Vino
GEN-0225;Vino tinto cosecha Fidencio DO La Mancha;Bebidas;Vino
GEN-0226;Calamar pequeño limpio patagónico;Pescadería;Moluscos
GEN-0227;Sepia Faraónica;Pescadería;Moluscos
GEN-0228;Sepia troceada Faraónica;Pescadería;Moluscos
GEN-0229;Patas de pulpo cocido;Pescadería;Moluscos
GEN-0230;Vino tinto crianza Abadía Mantrús DO Ribera del Duero;Bebidas;Vino
GEN-0231;Vino tinto reserva Abadía Mantrús DO Ribera del Duero;Bebidas;Vino
GEN-0232;Vino tinto roble Atardecer DO Ribera del Duero;Bebidas;Vino
GEN-0233;Vino tinto Borsao DO Campo de Borja;Bebidas;Vino
GEN-0234;Vino tinto Merlot Mar de Uvas;Frutas y Verduras;Fruta
GEN-0235;Vino tinto Syrah Mar de Uvas;Frutas y Verduras;Fruta
GEN-0236;Vino tinto tempranillo syrah suave Caperucita tinta Torre Oria;Bebidas;Vino
GEN-0237;Vino tinto crianza Torre Oria DO Utiel-Requena;Bebidas;Vino
GEN-0238;Vino tinto roble Fariña DO Dama de Toro;Bebidas;Vino
GEN-0239;Vino tinto Colección de parcelas Borsao DO Campo de Borja;Bebidas;Vino
GEN-0240;Vino tinto Fariña DO Gran Dama de Toro;Bebidas;Vino
GEN-0241;Vino tinto 7 meses Barril Nº7;Bebidas;Vino
GEN-0242;Trucha Arco iris abierta a la espalda;Pescadería;Pescado
GEN-0243;Filetes de trucha Arco iris;Pescadería;Pescado
GEN-0244;Boquerón sin limpiar;Pescadería;Pescado
GEN-0245;Boquerón limpio sin cabeza;Pescadería;Pescado
GEN-0246;Boquerón limpio sin espina;Pescadería;Pescado
GEN-0247;Filetes de panga ultracongelados;Congelados;Verduras congeladas
GEN-0248;Filetes de merluza del Cabo sin piel ultracongelados;Pescadería;Pescado
GEN-0249;Rodaja de emperador ultracongelado;Frutas y Verduras;Fruta
GEN-0250;Filetes de bacalao MareDeus ultracongelado;Pescadería;Pescado
GEN-0251;Medallones de merluza del Cabo ultracongelados;Pescadería;Pescado
GEN-0252;Filete de salmón rosado salvaje con piel ultracongelado;Pescadería;Pescado
GEN-0253;Rodajas de merluza del Cabo ultracongeladas;Pescadería;Pescado
GEN-0254;Rodajas de emperador pequeñas ultracongeladas;Frutas y Verduras;Fruta
GEN-0255;Fritura de pescado ultracongelada;Congelados;Platos congelados preparados
GEN-0256;Porciones de bacalao sin piel MareDeus ultracongeladas;Pescadería;Pescado
GEN-0257;Rodaja de tintorera sin piel ultracongelada;Bebidas;Vino
GEN-0258;Porciones de merluza del Cabo sin piel ultracongeladas;Pescadería;Pescado
GEN-0259;Pescadilla de merluza sin cabeza ultracongelada;Pescadería;Pescado
GEN-0260;Cola de rape del Cabo sin piel ultracongelada;Pescadería;Pescado
GEN-0261;Filetes de merluza del Cabo grandes sin piel ultracongelados;Pescadería;Pescado
GEN-0262;Lomos de salmón sin piel y sin espinas congelado;Pescadería;Pescado
GEN-0263;Migas de bacalao sin piel MareDeus ultracongeladas;Pescadería;Pescado
GEN-0264;Migas de bacalao dorado con cebolla y patatas paja congelado;Frutas y Verduras;Verduras
GEN-0265;Gallos sin cabeza ultracongelado;Congelados;Verduras congeladas
GEN-0266;Rodajas de atún de aleta amarilla congelado;Pescadería;Pescado
GEN-0267;Lomo de bacalao MareDeus ultracongelado;Pescadería;Pescado
GEN-0268;Colas de merluza ultracongeladas;Pescadería;Pescado
GEN-0269;Ventrescas de merluza del Cabo ultracongeladas;Pescadería;Pescado
GEN-0270;Medallones de salmón cocinar congelados;Pescadería;Pescado
GEN-0271;Filete de rodaballo;Pescadería;Pescado
GEN-0272;Medio rodaballo;Pescadería;Pescado
GEN-0273;Aritos de surimi a la romana ultracongelados;Congelados;Verduras congeladas
GEN-0274;Merluza empanada pan fino ultracongelada;Panadería y Pastelería;Pan fresco
GEN-0275;Filetes de merluza al huevo ultracongelados;Lácteos y Huevos;Huevos
GEN-0276;Varitas de merluza empanadas ultracongeladas;Pescadería;Pescado
GEN-0277;Empanadillas de atún ultracongeladas;Pescadería;Pescado
GEN-0278;Palitos de merluza a la romana ultracongelados;Pescadería;Pescado
GEN-0279;Figuritas de merluza empanadas ultracongeladas;Pescadería;Pescado
GEN-0280;Chipirones enharinados ultracongelado;Bebidas;Licores y destilados
GEN-0281;Langostino caballitos rebozados ultracongelados;Pescadería;Marisco
GEN-0282;Filetes de boquerón en tempura ultracongelado;Congelados;Verduras congeladas
GEN-0283;Tortillitas de camarones ultracongeladas;Bebidas;Licores y destilados
GEN-0284;Rabas empanadas ultracongeladas;Congelados;Platos congelados preparados
GEN-0285;Anillas de pota a la romana ultracongeladas;Congelados;Platos congelados preparados
GEN-0286;Croquetas de merluza ultracongelados;Pescadería;Pescado
GEN-0287;Tubo de pota Argentina limpio congelado;Congelados;Verduras congeladas
GEN-0288;Sepia faraónica limpia congelada;Pescadería;Moluscos
GEN-0289;Sepia faraónica troceada limpia congelada;Pescadería;Moluscos
GEN-0290;Calamar troceado limpio congelado;Pescadería;Moluscos
GEN-0291;Rodaja de potón del Pacífico cocido congelado;Congelados;Verduras congeladas
GEN-0292;Tiras de potón del Pacífico congeladas;Pescadería;Pescado
GEN-0293;Tinta de sepia Nortindal congelada;Pescadería;Moluscos
GEN-0294;Anillas de pota Argentina congeladas;Congelados;Platos congelados preparados
GEN-0295;Pulpo crudo congelado;Pescadería;Moluscos
GEN-0296;Puntilla de la Índia congelada;Pescadería;Moluscos
GEN-0297;Calamar patagónico pequeño ultracongelado;Pescadería;Moluscos
GEN-0298;Calamar grande congelado;Pescadería;Moluscos
GEN-0299;Sardina sin limpiar;Pescadería;Pescado
GEN-0300;Sardina limpia sin cabeza;Pescadería;Pescado
GEN-0301;Filete de corvina;Pescadería;Pescado
GEN-0302;Emperador marinado;Frutas y Verduras;Fruta
GEN-0303;Rodajas de atún de aleta amarilla;Pescadería;Pescado
GEN-0304;Filetes de Gallineta descongelada;Pescadería;Pescado
GEN-0305;Merluza rebozada;Pescadería;Pescado
GEN-0306;Lenguado rubio;Pescadería;Pescado
GEN-0307;Elaborado de merluza y langostino;Pescadería;Pescado
GEN-0308;Vino blanco Casón Histórico;Bebidas;Vino
GEN-0309;Vino blanco chardonnay airén;Bebidas;Vino
GEN-0310;Bebida aromatizada a base de vino para cocinar Abuela Carola;Bebidas;Vino
GEN-0311;Vino blanco;Bebidas;Vino
GEN-0312;Vino blanco airén verdejo Elegido;Bebidas;Vino
GEN-0313;Vino blanco Marina Alta DO Alicante;Bebidas;Vino
GEN-0314;Vino blanco Airén Sauvignon Blanc Fidencio DO La Mancha;Bebidas;Vino
GEN-0315;Vino blanco El Coto DO Rioja;Bebidas;Vino
GEN-0316;Vino blanco albariño Pazo de Orantes DO Rías Baixas;Bebidas;Vino
GEN-0317;Vino blanco dulce Finca La Malcriada DO Valencia;Bebidas;Vino
GEN-0318;Vino blanco albariño Ponte Tamuxe DO Rías Baixas;Bebidas;Vino
GEN-0319;Vino blanco Chardonnay Atardecer DO Somontano;Bebidas;Vino
GEN-0320;Vino verde Loureiro Castelo de Moinhos DO Portugal;Bebidas;Vino
GEN-0321;Vino blanco Treixadura Da Feira DO Ribeiro;Bebidas;Vino
GEN-0322;Vino blanco crianza Capricho de Uva DO Rioja;Frutas y Verduras;Fruta
GEN-0323;Vino blanco Chardonnay Mar de Uvas;Frutas y Verduras;Fruta
GEN-0324;Vino blanco verdejo Arribeño DO Rueda;Bebidas;Vino
GEN-0325;Vino blanco verdejo Abadía Mantrús DO Rueda;Bebidas;Vino
GEN-0326;Vino blanco verdejo Condado de Teón DO Rueda;Bebidas;Vino
GEN-0327;Vino blanco suave y afrutado El Pescaito;Bebidas;Vino
GEN-0328;Vino blanco semidulce Diamante DO Rioja;Bebidas;Vino
GEN-0329;Mosto tinto Casón Histórico;Bebidas;Vino
GEN-0330;Vino fino Corredera DO Montilla-Moriles;Bebidas;Vino
GEN-0331;Bebida refrescante aromatizada tinto sin alcohol light Castillo de Salobreña;Bebidas;Vino
GEN-0332;Filetes de anchoa en aceite de girasol;Despensa;Aceites
GEN-0333;Boquerones en vinagre en aceite de girasol;Bebidas;Licores y destilados
GEN-0334;Boquerones al vinagre en aceite de girasol;Bebidas;Licores y destilados
GEN-0335;Filetes de anchoa en aceite de oliva;Despensa;Aceites
GEN-0336;Migas de bacalao desaladas;Pescadería;Pescado
GEN-0337;Filetes de sardina marinada en aceite de oliva virgen extra;Pescadería;Pescado
GEN-0338;Sucedáneo de caviar negro Caviartic;Conservas y Enlatados;Conservas de pescado y mariscos
GEN-0339;Pavías de bacalao salado;Pescadería;Pescado
GEN-0340;Boquerones aliñados;Bebidas;Licores y destilados
GEN-0341;Salmón ahumado;Pescadería;Pescado
GEN-0342;Bacalao ahumado en aceite de girasol;Pescadería;Pescado
GEN-0343;Salmón marinado;Pescadería;Pescado
GEN-0344;Filetes de sardina ahumada en aceite de girasol;Pescadería;Pescado
GEN-0345;Taquitos de salmón ahumado;Pescadería;Pescado
GEN-0346;Vino rosado tempranillo syrah Fidencio DO La Mancha;Bebidas;Vino
GEN-0347;Vino rosado Dominio de Borgia;Bebidas;Vino
GEN-0348;Vino rosado Clarete Arteso DO Rioja;Bebidas;Vino
GEN-0349;Costillas de cerdo carnosas a tacos;Carnicería y Charcutería;Cerdo
GEN-0350;Filetes lomo de cerdo familiar;Carnicería y Charcutería;Cerdo
GEN-0351;Carrillada de cerdo;Carnicería y Charcutería;Cerdo
GEN-0352;Costilla de cerdo ibérico adobada;Carnicería y Charcutería;Cerdo
GEN-0353;Chuletas de cerdo sajonia;Frutas y Verduras;Verduras
GEN-0354;Costilla de cerdo churrasco;Carnicería y Charcutería;Cerdo
GEN-0355;Panceta de cerdo;Carnicería y Charcutería;Cerdo
GEN-0356;Manos de cerdo;Carnicería y Charcutería;Cerdo
GEN-0357;Cerdo a tacos;Carnicería y Charcutería;Cerdo
GEN-0358;Filetes lomo de cerdo adobado;Carnicería y Charcutería;Cerdo
GEN-0359;Filetes lomo de cerdo adobado familiar;Carnicería y Charcutería;Cerdo
GEN-0360;San Jacobos de cerdo sin gluten;Carnicería y Charcutería;Cerdo
GEN-0361;Filetes lomo de cerdo cabeza;Carnicería y Charcutería;Cerdo
GEN-0362;Flautas de bacón y queso;Lácteos y Huevos;Quesos
GEN-0363;Fiambre de magro de cerdo adobado;Carnicería y Charcutería;Cerdo
GEN-0364;Filetes hígado de cerdo;Carnicería y Charcutería;Cerdo
GEN-0365;Filetes lomo de cerdo ibérico adobado;Carnicería y Charcutería;Cerdo
GEN-0366;Medallones preparado de solomillo cerdo provenzal;Carnicería y Charcutería;Cerdo
GEN-0367;Pinchos de cerdo adobado sin varilla;Carnicería y Charcutería;Cerdo
GEN-0368;Chuletas aguja de cerdo;Carnicería y Charcutería;Cerdo
GEN-0369;Solomillo de cerdo;Carnicería y Charcutería;Cerdo
GEN-0370;Lagarto de cerdo;Carnicería y Charcutería;Cerdo
GEN-0371;Panceta fina sin corteza corte fino;Carnicería y Charcutería;Charcuteria
GEN-0372;Fiambre de magreta de cerdo adobada;Carnicería y Charcutería;Cerdo
GEN-0373;Codillo de cerdo semicocido al estilo Alemán;Carnicería y Charcutería;Cerdo
GEN-0374;Panceta adobada torrezno;Carnicería y Charcutería;Charcuteria
GEN-0375;Filetes lomo de cerdo extra tiernos;Carnicería y Charcutería;Cerdo
GEN-0376;Lomo de cerdo trozo;Carnicería y Charcutería;Cerdo
GEN-0377;Pieza cabeza lomo de cerdo;Carnicería y Charcutería;Cerdo
GEN-0378;Secreto de cerdo;Carnicería y Charcutería;Cerdo
GEN-0379;Filetes lomo de cerdo corte fino;Carnicería y Charcutería;Cerdo
GEN-0380;Chuletas lomo de cerdo finas;Carnicería y Charcutería;Cerdo
GEN-0381;Filetes secreto de cerdo;Carnicería y Charcutería;Cerdo
GEN-0382;Entrecot aguja de cerdo Duroc;Carnicería y Charcutería;Cerdo
GEN-0383;Manteca de cerdo;Carnicería y Charcutería;Cerdo
GEN-0384;Carrilladas de cerdo al vino;Carnicería y Charcutería;Cerdo
GEN-0385;Chuletas paleta de cerdo;Carnicería y Charcutería;Cerdo
GEN-0386;Zumo de tomate;Frutas y Verduras;Verduras
GEN-0387;Zumo de manzana;Frutas y Verduras;Fruta
GEN-0388;Néctar de maracuyá fruta de la pasión, mango, uva y manzana;Frutas y Verduras;Fruta
GEN-0389;Bebida de mango sin azúcares añadidos;Frutas y Verduras;Fruta
GEN-0390;Bebida de pomelo sin azúcares añadidos;Frutas y Verduras;Fruta
GEN-0391;Zumo de manzana selección;Frutas y Verduras;Fruta
GEN-0392;Néctar de guayaba;Bebidas;Zumos
GEN-0393;Fruta + leche tropical sin azúcares añadidos;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
GEN-0394;Fruta + leche mediterráneo sin azúcares añadidos;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
GEN-0395;Fruta + leche tropical Bifrutas;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
GEN-0396;Fruta + leche caribe sin azúcares añadidos y zero materia grasa;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
