id_producto;nombre;categoria;subcategoria
ME-0081;Lechuga corazón romana;Frutas y Verduras;Verduras
ME-0082;Endibias;Frutas y Verduras;Verduras
ME-0083;Ensalada mezcla brotes tiernos maxi lavada;Frutas y Verduras;Verduras
ME-0084;Ensalada mezcla gourmet maxi lavada;Frutas y Verduras;Verduras
ME-0085;Rúcula lavada;Frutas y Verduras;Verduras
ME-0086;Cogollos corazón de lechuga;Frutas y Verduras;Verduras
ME-0087;Ensalada mezcla dúo canónigos y rúcula lavada;Frutas y Verduras;Verduras
ME-0088;Lechuga hoja roble;Frutas y Verduras;Verduras
ME-0089;Escarola rizada cortada y lavada;Frutas y Verduras;Verduras
ME-0090;Escarola rizada;Frutas y Verduras;Verduras
ME-0091;Espinacas baby lavadas;Frutas y Verduras;Verduras
ME-0092;Lechuga romana cortada y lavada;Frutas y Verduras;Verduras
ME-0093;Kiwi verde;Frutas y Verduras;Fruta
ME-0094;Kiwis verdes;Frutas y Verduras;Fruta
ME-0095;Aguacate;Frutas y Verduras;Fruta
ME-0096;Aguacates;Frutas y Verduras;Fruta
ME-0097;Piña;Frutas y Verduras;Fruta
ME-0098;Media piña;Frutas y Verduras;Fruta
ME-0099;Piña natural a rodajas;Frutas y Verduras;Fruta
ME-0100;Guacamole;Platos preparados;Ensaladas listas
ME-0101;Mango;Frutas y Verduras;Fruta
ME-0102;Papaya;Frutas y Verduras;Fruta
ME-0103;Champiñones laminados limpios;Frutas y Verduras;Setas
ME-0104;Setas;Frutas y Verduras;Setas
ME-0105;Seta laminada;Frutas y Verduras;Setas
ME-0106;Champiñones Portobello;Frutas y Verduras;Setas
ME-0107;Setas shiitake;Frutas y Verduras;Setas
ME-0108;Mix de setas intenso;Frutas y Verduras;Setas
ME-0109;Champiñones blancos;Bebidas;Vino
ME-0110;Ensalada César;Frutas y Verduras;Verduras
ME-0111;Ensalada California;Frutas y Verduras;Verduras
ME-0112;Wraps Texas;Platos preparados;Bocadillos y Sándwich listos
ME-0113;Ensalada de la casa;Frutas y Verduras;Verduras
ME-0114;Ensalada ensatún;Pescadería;Pescado
ME-0115;Ensalada de pasta;Despensa;Arroz, pasta y quinoa
ME-0116;Ensalada queso de cabra;Lácteos y Huevos;Quesos
ME-0117;Ensalada de pasta Listo para Comer;Despensa;Arroz, pasta y quinoa
ME-0118;Ensalada de pollo, queso y frutos secos Listo para Comer;Lácteos y Huevos;Quesos
ME-0119;Fresón;Frutas y Verduras;Fruta
ME-0120;Frambuesas;Frutas y Verduras;Fruta
ME-0121;Moras;Frutas y Verduras;Fruta
ME-0122;Arándanos;Frutas y Verduras;Fruta
ME-0123;Perejil troceado lavado;Frutas y Verduras;Verduras
ME-0124;Jengibre;Frutas y Verduras;Verduras
ME-0125;Cilantro;Frutas y Verduras;Verduras
ME-0126;Albahaca;Frutas y Verduras;Verduras
ME-0127;Hierbabuena;Frutas y Verduras;Verduras
ME-0128;Cebollino;Frutas y Verduras;Verduras
ME-0129;Espinacas cortadas y lavadas;Frutas y Verduras;Verduras
ME-0130;Brócoli;Frutas y Verduras;Verduras
ME-0131;Berenjena;Frutas y Verduras;Verduras
ME-0132;Judía verde plana;Frutas y Verduras;Verduras
ME-0133;Acelgas cortadas y lavadas;Frutas y Verduras;Verduras
ME-0134;Puerros;Frutas y Verduras;Verduras
ME-0135;Alcachofa;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
ME-0136;Judía verde redonda;Frutas y Verduras;Verduras
ME-0137;Calabaza cacahuete cortada a trozos;Frutas y Verduras;Verduras
ME-0138;Apio verde;Frutas y Verduras;Verduras
ME-0139;Apio cortado lavado;Frutas y Verduras;Verduras
ME-0140;Preparado de verdura para cocido;Frutas y Verduras;Verduras
ME-0141;Espárragos verdes finos;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
ME-0142;Rabanitos;Frutas y Verduras;Verduras
ME-0143;Remolacha cocida y pelada;Frutas y Verduras;Verduras
ME-0144;Acelgas;Frutas y Verduras;Verduras
ME-0145;Maíz dulce en mazorca cocido;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
ME-0146;Media calabaza cacahuete;Frutas y Verduras;Verduras
ME-0147;Espárragos verdes gruesos;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
ME-0148;Maíz dulce en mazorca;Conservas y Enlatados;Verduras, legumbres y hortalizas en conserva
ME-0149;Verdura para crema de calabaza;Frutas y Verduras;Verduras
ME-0150;Preparado de verduras para sofreír cortado y lavado;Frutas y Verduras;Verduras
ME-0151;Sopa de verduras cortada y lavada;Conservas y Enlatados;Sopas, cremas y otros preparados
ME-0152;Salteado de pimientos y cebolla cortado y lavado;Frutas y Verduras;Verduras
ME-0153;3 Vegetales para microondas lavados;Frutas y Verduras;Verduras
ME-0154;Floretas de brócoli para microondas lavadas;Frutas y Verduras;Verduras
ME-0155;Patatas para microondas;Frutas y Verduras;Verduras
ME-0156;Batatas para microondas;Frutas y Verduras;Verduras
ME-0157;Floretas de coliflor para microondas;Frutas y Verduras;Verduras
ME-0158;Salteado de verduras para microondas cortado y lavado;Frutas y Verduras;Verduras
ME-0159;Medio salmón;Pescadería;Pescado
ME-0160;Filete de salmón;Pescadería;Pescado
ME-0161;Escalopin de salmón;Pescadería;Pescado
ME-0162;Rodaja de salmón;Pescadería;Pescado
ME-0163;Dorada limpia;Pescadería;Pescado
ME-0164;Dorada abierta a la espalda;Pescadería;Pescado
ME-0165;Filetes de dorada;Pescadería;Pescado
ME-0166;Preparado de paella y sopa ultracongelado;Conservas y Enlatados;Sopas, cremas y otros preparados
ME-0167;Arreglo de marisco pelado;Platos preparados;Ensaladas listas
ME-0168;Gambón grande congelado;Congelados;Verduras congeladas
ME-0169;Alistado pequeño congelado;Congelados;Verduras congeladas
ME-0170;Alistado mediano ultracongelado;Congelados;Verduras congeladas
ME-0171;Langostino crudo ultracongelado;Pescadería;Marisco
ME-0172;Gamba arrocera pequeña congelada;Pescadería;Marisco
ME-0173;Gamba cocida;Pescadería;Marisco
ME-0174;Gamba pelada cruda tamaño mediano ultracongelada;Pescadería;Marisco
ME-0175;Gamba pelada cruda tamaño grande ultracongelada;Pescadería;Marisco
ME-0176;Camarón boreal cocido y pelado Greenland ultracongelado;Congelados;Verduras congeladas
ME-0177;Langostino cocido y pelado ultracongelado;Pescadería;Marisco
ME-0178;Langostino crudo y pelado ultracongelado;Pescadería;Marisco
ME-0179;Cigala cruda mediana ultracongelada;Pescadería;Marisco
ME-0180;Bogavante americano mediano crudo;Pescadería;Marisco
ME-0181;Buey de mar cocido congelado;Pescadería;Marisco
ME-0182;Colas de gambón crudo congelado;Congelados;Verduras congeladas
ME-0183;Langostino cocido;Pescadería;Marisco
ME-0184;Salpicón de marisco;Platos preparados;Ensaladas listas
ME-0185;Nécora cocida;Pescadería;Marisco
ME-0186;Buey de mar cocido;Pescadería;Marisco
ME-0187;Lubina limpia;Pescadería;Pescado
ME-0188;Lubina abierta a la espalda;Pescadería;Pescado
ME-0189;Filete de lubina;Pescadería;Pescado
ME-0190;Carne de mejillón de Chile cocido ultracongelado;Pescadería;Moluscos
ME-0191;Mejillón de Chile entero cocido ultracongelado;Pescadería;Moluscos
ME-0192;Almeja congelada;Pescadería;Moluscos
ME-0193;Mejillón tigre ultracongelado;Pescadería;Moluscos
ME-0194;Ostra viva;Pescadería;Moluscos
ME-0195;Chirla viva;Pescadería;Moluscos
ME-0196;Mejillón vivo;Pescadería;Moluscos
ME-0197;Almeja japonesa viva;Pescadería;Moluscos
ME-0198;Mejillón vivo selección;Pescadería;Moluscos
ME-0199;Berberecho vivo;Pescadería;Moluscos
ME-0200;Navaja viva;Pescadería;Moluscos
ME-0201;Rodajas de merluza del Cabo descongelada;Pescadería;Pescado
ME-0202;Porciones de merluza del Cabo;Pescadería;Pescado
ME-0203;Palitos de surimi;Pescadería;Pescado
ME-0204;Palitos de surimi ultracongelados;Congelados;Verduras congeladas
ME-0205;Muslitos de surimi ultracongelados;Congelados;Verduras congeladas
ME-0206;Delicias del mar de surimi;Pescadería;Pescado
ME-0207;Bacalao al punto de sal descongelado;Pescadería;Pescado
ME-0208;Hoja de bacalao;Pescadería;Pescado
ME-0209;Vino tinto Casón Histórico;Bebidas;Vino
ME-0210;Vino tinto;Bebidas;Vino
ME-0211;Vino tinto tempranillo Elegido;Bebidas;Vino
ME-0212;Vino tinto Dominio de Borgia;Bebidas;Vino
ME-0213;Vino tinto tempranillo Hacienda Zargón;Bebidas;Vino
ME-0214;Vino tinto crianza El Coto DO Rioja;Bebidas;Vino
ME-0215;Vino tinto cosecha Comportillo DO Rioja;Bebidas;Vino
ME-0216;Vino tinto crianza Cune DO Rioja;Bebidas;Vino
ME-0217;Vino tinto crianza Comportillo DO Rioja;Bebidas;Vino
ME-0218;Vino tinto reserva Comportillo DO Rioja;Bebidas;Vino
ME-0219;Vino tinto reserva Coto de Imaz DO Rioja;Bebidas;Vino
ME-0220;Vino tinto Pieza Rey DO Rioja;Bebidas;Vino
ME-0221;Vino tinto crianza Viña Albali DO Valdepeñas;Bebidas;Vino
ME-0222;Vino tinto tempranillo reserva Pata Negra DO Valdepeñas;Bebidas;Vino
ME-0223;Vino tinto tempranillo crianza Señorío de los Llanos DO Valdepeñas;Bebidas;Vino
ME-0224;Vino tinto crianza Fidencio DO La Mancha;Bebidas;Vino
ME-0225;Vino tinto cosecha Fidencio DO La Mancha;Bebidas;Vino
ME-0226;Calamar pequeño limpio patagónico;Pescadería;Moluscos
ME-0227;Sepia Faraónica;Pescadería;Moluscos
ME-0228;Sepia troceada Faraónica;Pescadería;Moluscos
ME-0229;Patas de pulpo cocido;Pescadería;Moluscos
ME-0230;Vino tinto crianza Abadía Mantrús DO Ribera del Duero;Bebidas;Vino
ME-0231;Vino tinto reserva Abadía Mantrús DO Ribera del Duero;Bebidas;Vino
ME-0232;Vino tinto roble Atardecer DO Ribera del Duero;Bebidas;Vino
ME-0233;Vino tinto Borsao DO Campo de Borja;Bebidas;Vino
ME-0234;Vino tinto Merlot Mar de Uvas;Frutas y Verduras;Fruta
ME-0235;Vino tinto Syrah Mar de Uvas;Frutas y Verduras;Fruta
ME-0236;Vino tinto tempranillo syrah suave Caperucita tinta Torre Oria;Bebidas;Vino
ME-0237;Vino tinto crianza Torre Oria DO Utiel-Requena;Bebidas;Vino
ME-0238;Vino tinto roble Fariña DO Dama de Toro;Bebidas;Vino
ME-0239;Vino tinto Colección de parcelas Borsao DO Campo de Borja;Bebidas;Vino
ME-0240;Vino tinto Fariña DO Gran Dama de Toro;Bebidas;Vino
ME-0241;Vino tinto 7 meses Barril Nº7;Bebidas;Vino
ME-0242;Trucha Arco iris abierta a la espalda;Pescadería;Pescado
ME-0243;Filetes de trucha Arco iris;Pescadería;Pescado
ME-0244;Boquerón sin limpiar;Pescadería;Pescado
ME-0245;Boquerón limpio sin cabeza;Pescadería;Pescado
ME-0246;Boquerón limpio sin espina;Pescadería;Pescado
ME-0247;Filetes de panga ultracongelados;Congelados;Verduras congeladas
ME-0248;Filetes de merluza del Cabo sin piel ultracongelados;Pescadería;Pescado
ME-0249;Rodaja de emperador ultracongelado;Frutas y Verduras;Fruta
ME-0250;Filetes de bacalao MareDeus ultracongelado;Pescadería;Pescado
ME-0251;Medallones de merluza del Cabo ultracongelados;Pescadería;Pescado
ME-0252;Filete de salmón rosado salvaje con piel ultracongelado;Pescadería;Pescado
ME-0253;Rodajas de merluza del Cabo ultracongeladas;Pescadería;Pescado
ME-0254;Rodajas de emperador pequeñas ultracongeladas;Frutas y Verduras;Fruta
ME-0255;Fritura de pescado ultracongelada;Congelados;Platos congelados preparados
ME-0256;Porciones de bacalao sin piel MareDeus ultracongeladas;Pescadería;Pescado
ME-0257;Rodaja de tintorera sin piel ultracongelada;Bebidas;Vino
ME-0258;Porciones de merluza del Cabo sin piel ultracongeladas;Pescadería;Pescado
ME-0259;Pescadilla de merluza sin cabeza ultracongelada;Pescadería;Pescado
ME-0260;Cola de rape del Cabo sin piel ultracongelada;Pescadería;Pescado
ME-0261;Filetes de merluza del Cabo grandes sin piel ultracongelados;Pescadería;Pescado
ME-0262;Lomos de salmón sin piel y sin espinas congelado;Pescadería;Pescado
ME-0263;Migas de bacalao sin piel MareDeus ultracongeladas;Pescadería;Pescado
ME-0264;Migas de bacalao dorado con cebolla y patatas paja congelado;Frutas y Verduras;Verduras
ME-0265;Gallos sin cabeza ultracongelado;Congelados;Verduras congeladas
ME-0266;Rodajas de atún de aleta amarilla congelado;Pescadería;Pescado
ME-0267;Lomo de bacalao MareDeus ultracongelado;Pescadería;Pescado
ME-0268;Colas de merluza ultracongeladas;Pescadería;Pescado
ME-0269;Ventrescas de merluza del Cabo ultracongeladas;Pescadería;Pescado
ME-0270;Medallones de salmón cocinar congelados;Pescadería;Pescado
ME-0271;Filete de rodaballo;Pescadería;Pescado
ME-0272;Medio rodaballo;Pescadería;Pescado
ME-0273;Aritos de surimi a la romana ultracongelados;Congelados;Verduras congeladas
ME-0274;Merluza empanada pan fino ultracongelada;Panadería y Pastelería;Pan fresco
ME-0275;Filetes de merluza al huevo ultracongelados;Lácteos y Huevos;Huevos
ME-0276;Varitas de merluza empanadas ultracongeladas;Pescadería;Pescado
ME-0277;Empanadillas de atún ultracongeladas;Pescadería;Pescado
ME-0278;Palitos de merluza a la romana ultracongelados;Pescadería;Pescado
ME-0279;Figuritas de merluza empanadas ultracongeladas;Pescadería;Pescado
ME-0280;Chipirones enharinados ultracongelado;Bebidas;Licores y destilados
ME-0281;Langostino caballitos rebozados ultracongelados;Pescadería;Marisco
ME-0282;Filetes de boquerón en tempura ultracongelado;Congelados;Verduras congeladas
ME-0283;Tortillitas de camarones ultracongeladas;Bebidas;Licores y destilados
ME-0284;Rabas empanadas ultracongeladas;Congelados;Platos congelados preparados
ME-0285;Anillas de pota a la romana ultracongeladas;Congelados;Platos congelados preparados
ME-0286;Croquetas de merluza ultracongelados;Pescadería;Pescado
ME-0287;Tubo de pota Argentina limpio congelado;Congelados;Verduras congeladas
ME-0288;Sepia faraónica limpia congelada;Pescadería;Moluscos
ME-0289;Sepia faraónica troceada limpia congelada;Pescadería;Moluscos
ME-0290;Calamar troceado limpio congelado;Pescadería;Moluscos
ME-0291;Rodaja de potón del Pacífico cocido congelado;Congelados;Verduras congeladas
ME-0292;Tiras de potón del Pacífico congeladas;Pescadería;Pescado
ME-0293;Tinta de sepia Nortindal congelada;Pescadería;Moluscos
ME-0294;Anillas de pota Argentina congeladas;Congelados;Platos congelados preparados
ME-0295;Pulpo crudo congelado;Pescadería;Moluscos
ME-0296;Puntilla de la Índia congelada;Pescadería;Moluscos
ME-0297;Calamar patagónico pequeño ultracongelado;Pescadería;Moluscos
ME-0298;Calamar grande congelado;Pescadería;Moluscos
ME-0299;Sardina sin limpiar;Pescadería;Pescado
ME-0300;Sardina limpia sin cabeza;Pescadería;Pescado
ME-0301;Filete de corvina;Pescadería;Pescado
ME-0302;Emperador marinado;Frutas y Verduras;Fruta
ME-0303;Rodajas de atún de aleta amarilla;Pescadería;Pescado
ME-0304;Filetes de Gallineta descongelada;Pescadería;Pescado
ME-0305;Merluza rebozada;Pescadería;Pescado
ME-0306;Lenguado rubio;Pescadería;Pescado
ME-0307;Elaborado de merluza y langostino;Pescadería;Pescado
ME-0308;Vino blanco Casón Histórico;Bebidas;Vino
ME-0309;Vino blanco chardonnay airén;Bebidas;Vino
ME-0310;Bebida aromatizada a base de vino para cocinar Abuela Carola;Bebidas;Vino
ME-0311;Vino blanco;Bebidas;Vino
ME-0312;Vino blanco airén verdejo Elegido;Bebidas;Vino
ME-0313;Vino blanco Marina Alta DO Alicante;Bebidas;Vino
ME-0314;Vino blanco Airén Sauvignon Blanc Fidencio DO La Mancha;Bebidas;Vino
ME-0315;Vino blanco El Coto DO Rioja;Bebidas;Vino
ME-0316;Vino blanco albariño Pazo de Orantes DO Rías Baixas;Bebidas;Vino
ME-0317;Vino blanco dulce Finca La Malcriada DO Valencia;Bebidas;Vino
ME-0318;Vino blanco albariño Ponte Tamuxe DO Rías Baixas;Bebidas;Vino
ME-0319;Vino blanco Chardonnay Atardecer DO Somontano;Bebidas;Vino
ME-0320;Vino verde Loureiro Castelo de Moinhos DO Portugal;Bebidas;Vino
ME-0321;Vino blanco Treixadura Da Feira DO Ribeiro;Bebidas;Vino
ME-0322;Vino blanco crianza Capricho de Uva DO Rioja;Frutas y Verduras;Fruta
ME-0323;Vino blanco Chardonnay Mar de Uvas;Frutas y Verduras;Fruta
ME-0324;Vino blanco verdejo Arribeño DO Rueda;Bebidas;Vino
ME-0325;Vino blanco verdejo Abadía Mantrús DO Rueda;Bebidas;Vino
ME-0326;Vino blanco verdejo Condado de Teón DO Rueda;Bebidas;Vino
ME-0327;Vino blanco suave y afrutado El Pescaito;Bebidas;Vino
ME-0328;Vino blanco semidulce Diamante DO Rioja;Bebidas;Vino
ME-0329;Mosto tinto Casón Histórico;Bebidas;Vino
ME-0330;Vino fino Corredera DO Montilla-Moriles;Bebidas;Vino
ME-0331;Bebida refrescante aromatizada tinto sin alcohol light Castillo de Salobreña;Bebidas;Vino
ME-0332;Filetes de anchoa en aceite de girasol;Despensa;Aceites
ME-0333;Boquerones en vinagre en aceite de girasol;Bebidas;Licores y destilados
ME-0334;Boquerones al vinagre en aceite de girasol;Bebidas;Licores y destilados
ME-0335;Filetes de anchoa en aceite de oliva;Despensa;Aceites
ME-0336;Migas de bacalao desaladas;Pescadería;Pescado
ME-0337;Filetes de sardina marinada en aceite de oliva virgen extra;Pescadería;Pescado
ME-0338;Sucedáneo de caviar negro Caviartic;Conservas y Enlatados;Conservas de pescado y mariscos
ME-0339;Pavías de bacalao salado;Pescadería;Pescado
ME-0340;Boquerones aliñados;Bebidas;Licores y destilados
ME-0341;Salmón ahumado;Pescadería;Pescado
ME-0342;Bacalao ahumado en aceite de girasol;Pescadería;Pescado
ME-0343;Salmón marinado;Pescadería;Pescado
ME-0344;Filetes de sardina ahumada en aceite de girasol;Pescadería;Pescado
ME-0345;Taquitos de salmón ahumado;Pescadería;Pescado
ME-0346;Vino rosado tempranillo syrah Fidencio DO La Mancha;Bebidas;Vino
ME-0347;Vino rosado Dominio de Borgia;Bebidas;Vino
ME-0348;Vino rosado Clarete Arteso DO Rioja;Bebidas;Vino
ME-0349;Costillas de cerdo carnosas a tacos;Carnicería y Charcutería;Cerdo
ME-0350;Filetes lomo de cerdo familiar;Carnicería y Charcutería;Cerdo
ME-0351;Carrillada de cerdo;Carnicería y Charcutería;Cerdo
ME-0352;Costilla de cerdo ibérico adobada;Carnicería y Charcutería;Cerdo
ME-0353;Chuletas de cerdo sajonia;Frutas y Verduras;Verduras
ME-0354;Costilla de cerdo churrasco;Carnicería y Charcutería;Cerdo
ME-0355;Panceta de cerdo;Carnicería y Charcutería;Cerdo
ME-0356;Manos de cerdo;Carnicería y Charcutería;Cerdo
ME-0357;Cerdo a tacos;Carnicería y Charcutería;Cerdo
ME-0358;Filetes lomo de cerdo adobado;Carnicería y Charcutería;Cerdo
ME-0359;Filetes lomo de cerdo adobado familiar;Carnicería y Charcutería;Cerdo
ME-0360;San Jacobos de cerdo sin gluten;Carnicería y Charcutería;Cerdo
ME-0361;Filetes lomo de cerdo cabeza;Carnicería y Charcutería;Cerdo
ME-0362;Flautas de bacón y queso;Lácteos y Huevos;Quesos
ME-0363;Fiambre de magro de cerdo adobado;Carnicería y Charcutería;Cerdo
ME-0364;Filetes hígado de cerdo;Carnicería y Charcutería;Cerdo
ME-0365;Filetes lomo de cerdo ibérico adobado;Carnicería y Charcutería;Cerdo
ME-0366;Medallones preparado de solomillo cerdo provenzal;Carnicería y Charcutería;Cerdo
ME-0367;Pinchos de cerdo adobado sin varilla;Carnicería y Charcutería;Cerdo
ME-0368;Chuletas aguja de cerdo;Carnicería y Charcutería;Cerdo
ME-0369;Solomillo de cerdo;Carnicería y Charcutería;Cerdo
ME-0370;Lagarto de cerdo;Carnicería y Charcutería;Cerdo
ME-0371;Panceta fina sin corteza corte fino;Carnicería y Charcutería;Charcuteria
ME-0372;Fiambre de magreta de cerdo adobada;Carnicería y Charcutería;Cerdo
ME-0373;Codillo de cerdo semicocido al estilo Alemán;Carnicería y Charcutería;Cerdo
ME-0374;Panceta adobada torrezno;Carnicería y Charcutería;Charcuteria
ME-0375;Filetes lomo de cerdo extra tiernos;Carnicería y Charcutería;Cerdo
ME-0376;Lomo de cerdo trozo;Carnicería y Charcutería;Cerdo
ME-0377;Pieza cabeza lomo de cerdo;Carnicería y Charcutería;Cerdo
ME-0378;Secreto de cerdo;Carnicería y Charcutería;Cerdo
ME-0379;Filetes lomo de cerdo corte fino;Carnicería y Charcutería;Cerdo
ME-0380;Chuletas lomo de cerdo finas;Carnicería y Charcutería;Cerdo
ME-0381;Filetes secreto de cerdo;Carnicería y Charcutería;Cerdo
ME-0382;Entrecot aguja de cerdo Duroc;Carnicería y Charcutería;Cerdo
ME-0383;Manteca de cerdo;Carnicería y Charcutería;Cerdo
ME-0384;Carrilladas de cerdo al vino;Carnicería y Charcutería;Cerdo
ME-0385;Chuletas paleta de cerdo;Carnicería y Charcutería;Cerdo
ME-0386;Zumo de tomate;Frutas y Verduras;Verduras
ME-0387;Zumo de manzana;Frutas y Verduras;Fruta
ME-0388;Néctar de maracuyá fruta de la pasión, mango, uva y manzana;Frutas y Verduras;Fruta
ME-0389;Bebida de mango sin azúcares añadidos;Frutas y Verduras;Fruta
ME-0390;Bebida de pomelo sin azúcares añadidos;Frutas y Verduras;Fruta
ME-0391;Zumo de manzana selección;Frutas y Verduras;Fruta
ME-0392;Néctar de guayaba;Bebidas;Zumos
ME-0393;Fruta + leche tropical sin azúcares añadidos;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
ME-0394;Fruta + leche mediterráneo sin azúcares añadidos;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
ME-0395;Fruta + leche tropical Bifrutas;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
ME-0396;Fruta + leche caribe sin azúcares añadidos y zero materia grasa;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
ME-0397;Fruta + leche piña y coco sin azúcares añadidos;Frutas y Verduras;Fruta
ME-0398;Fruta + leche caribe sin azúcares añadidos;Lácteos y Huevos;"Leche y bebidas ""lácteas"""
ME-0399;Bebida Bahamas;Bebidas;Refrescos
ME-0400;Bebida tropical sin azúcares añadidos;Despensa;Azúcares y edulcorantes
ME-0401;Bebida de zumo de naranja, mango y zanahoria La Verja sin azúcares añadidos;Frutas y Verduras;Verduras
ME-0402;Bebida 5 frutas sin azúcares añadidos;Despensa;Azúcares y edulcorantes
ME-0403;Bebida de arándanos y frutas rojas sin azúcares añadidos;Frutas y Verduras;Fruta
ME-0404;Bebida de frutas rojas antioxidante sin azúcares añadidos;Despensa;Azúcares y edulcorantes
